#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       57690    0.3694E-05    0.3500E+02    0.1689E+02    0.1746E+02    Rayleigh
  31      4    20        5863    0.5360E-07    0.3500E+02    0.1451E+02    0.1994E+02    Rayleigh
  63      4    20         699    0.6030E-09    0.3502E+02    0.1241E+02    0.2199E+02    Rayleigh
 127      4    20         261    0.4306E-09    0.3506E+02    0.1265E+02    0.2215E+02    Rayleigh
 255      4    20          52    0.5884E-09    0.3509E+02    0.1550E+02    0.1943E+02    Rayleigh
 511      4    20          14    0.1011E-08    0.3656E+02    0.1609E+02    0.2043E+02    Rayleigh
  15      8    20       32866    0.2104E-05    0.3500E+02    0.1668E+02    0.1759E+02    Rayleigh
  31      8    20        2104    0.1923E-07    0.3500E+02    0.1472E+02    0.1916E+02    Rayleigh
  63      8    20         376    0.3244E-09    0.3500E+02    0.1252E+02    0.2184E+02    Rayleigh
 127      8    20         105    0.1703E-09    0.3504E+02    0.1400E+02    0.2067E+02    Rayleigh
 255      8    20          46    0.5182E-09    0.3503E+02    0.1383E+02    0.2111E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.6070E+02    0.2775E+02    0.3290E+02    Rayleigh
  15     16    20        4458    0.2855E-06    0.3500E+02    0.1606E+02    0.1808E+02    Rayleigh
  31     16    20         753    0.6884E-08    0.3501E+02    0.1734E+02    0.1654E+02    Rayleigh
  63     16    20         202    0.1743E-09    0.3504E+02    0.1722E+02    0.1726E+02    Rayleigh
 127     16    20          83    0.1341E-09    0.3510E+02    0.1534E+02    0.1947E+02    Rayleigh
 255     16    20          18    0.2037E-09    0.3621E+02    0.1549E+02    0.2061E+02    Rayleigh
  15     32    20        2937    0.1881E-06    0.3500E+02    0.1461E+02    0.1927E+02    Rayleigh
  31     32    20         570    0.5213E-08    0.3501E+02    0.1442E+02    0.1951E+02    Rayleigh
  63     32    20          97    0.8498E-10    0.3509E+02    0.1663E+02    0.1790E+02    Rayleigh
 127     32    20          18    0.3057E-10    0.3557E+02    0.1705E+02    0.1833E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.4385E+02    0.1989E+02    0.2385E+02    Rayleigh
  15      2    20      133202    0.8529E-05    0.3500E+02    0.1696E+02    0.1726E+02    Rayleigh
  31      2    20       28899    0.2642E-06    0.3500E+02    0.1561E+02    0.1880E+02    Rayleigh
  63      2    20        1214    0.1049E-08    0.3500E+02    0.1248E+02    0.2150E+02    Rayleigh
 127      2    20         280    0.4628E-09    0.3501E+02    0.1327E+02    0.2128E+02    Rayleigh
 255      2    20          82    0.9331E-09    0.3519E+02    0.1460E+02    0.2036E+02    Rayleigh
 511      2    20          33    0.2364E-08    0.3540E+02    0.1529E+02    0.2005E+02    Rayleigh
  15     64    20         891    0.5705E-07    0.3502E+02    0.1487E+02    0.1899E+02    Rayleigh
  31     64    20         297    0.2714E-08    0.3506E+02    0.1379E+02    0.2032E+02    Rayleigh
  63     64    20          37    0.3265E-10    0.3526E+02    0.1802E+02    0.1671E+02    Rayleigh
 127     64    20          14    0.2603E-10    0.3547E+02    0.1737E+02    0.1791E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1184E+03    0.5447E+02    0.6369E+02    Rayleigh
  15    128    20         342    0.2190E-07    0.3501E+02    0.1515E+02    0.1877E+02    Rayleigh
  31    128    20          59    0.5396E-09    0.3523E+02    0.1856E+02    0.1587E+02    Rayleigh
  63    128    20          15    0.1339E-10    0.3572E+02    0.1914E+02    0.1616E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7857E+02    0.4019E+02    0.3779E+02    Rayleigh
