#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       44475    0.2848E-05    0.3500E+02    0.1673E+02    0.1766E+02    Rayleigh
  31      4    20        4690    0.4287E-07    0.3500E+02    0.1387E+02    0.2030E+02    Rayleigh
  63      4    20         605    0.5219E-09    0.3502E+02    0.1257E+02    0.2177E+02    Rayleigh
 127      4    20         185    0.3014E-09    0.3509E+02    0.1353E+02    0.2118E+02    Rayleigh
 255      4    20          56    0.6354E-09    0.3542E+02    0.1568E+02    0.1957E+02    Rayleigh
 511      4    20          16    0.1155E-08    0.3557E+02    0.1603E+02    0.1949E+02    Rayleigh
  15      8    20       22603    0.1447E-05    0.3500E+02    0.1700E+02    0.1727E+02    Rayleigh
  31      8    20        2172    0.1985E-07    0.3501E+02    0.1370E+02    0.2023E+02    Rayleigh
  63      8    20         417    0.3597E-09    0.3501E+02    0.1274E+02    0.2152E+02    Rayleigh
 127      8    20         113    0.1844E-09    0.3504E+02    0.1467E+02    0.1989E+02    Rayleigh
 255      8    20          29    0.3267E-09    0.3563E+02    0.1434E+02    0.2117E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.4333E+02    0.2027E+02    0.2302E+02    Rayleigh
  15     16    20        4877    0.3123E-06    0.3500E+02    0.1653E+02    0.1766E+02    Rayleigh
  31     16    20        1257    0.1149E-07    0.3501E+02    0.1342E+02    0.2059E+02    Rayleigh
  63     16    20         263    0.2256E-09    0.3502E+02    0.1260E+02    0.2187E+02    Rayleigh
 127     16    20          69    0.1160E-09    0.3529E+02    0.1561E+02    0.1938E+02    Rayleigh
 255     16    20          13    0.1483E-09    0.3663E+02    0.1859E+02    0.1792E+02    Rayleigh
  15     32    20        1605    0.1028E-06    0.3501E+02    0.1547E+02    0.1826E+02    Rayleigh
  31     32    20         597    0.5459E-08    0.3503E+02    0.1240E+02    0.2172E+02    Rayleigh
  63     32    20          95    0.8336E-10    0.3510E+02    0.1656E+02    0.1799E+02    Rayleigh
 127     32    20          20    0.3410E-10    0.3550E+02    0.1752E+02    0.1779E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.6081E+02    0.2843E+02    0.3223E+02    Rayleigh
  15      2    20       95085    0.6088E-05    0.3500E+02    0.1675E+02    0.1753E+02    Rayleigh
  31      2    20       30052    0.2747E-06    0.3500E+02    0.1554E+02    0.1878E+02    Rayleigh
  63      2    20        1615    0.1394E-08    0.3501E+02    0.1256E+02    0.2148E+02    Rayleigh
 127      2    20         288    0.4748E-09    0.3505E+02    0.1325E+02    0.2129E+02    Rayleigh
 255      2    20         113    0.1288E-08    0.3509E+02    0.1690E+02    0.1786E+02    Rayleigh
 511      2    20          29    0.2077E-08    0.3596E+02    0.1569E+02    0.2019E+02    Rayleigh
  15     64    20        1006    0.6442E-07    0.3500E+02    0.1456E+02    0.1938E+02    Rayleigh
  31     64    20         174    0.1591E-08    0.3502E+02    0.1667E+02    0.1730E+02    Rayleigh
  63     64    20          33    0.2888E-10    0.3519E+02    0.1792E+02    0.1680E+02    Rayleigh
 127     64    20          10    0.1830E-10    0.3820E+02    0.1985E+02    0.1815E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1205E+03    0.5580E+02    0.6447E+02    Rayleigh
  15    128    20         456    0.2920E-07    0.3501E+02    0.1318E+02    0.2090E+02    Rayleigh
  31    128    20          79    0.7229E-09    0.3502E+02    0.1718E+02    0.1712E+02    Rayleigh
  63    128    20          18    0.1595E-10    0.3579E+02    0.1945E+02    0.1590E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7661E+02    0.4204E+02    0.3409E+02    Rayleigh
