#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       52338    0.3351E-05    0.3500E+02    0.1652E+02    0.1786E+02    Rayleigh
  31      4    20        3512    0.3210E-07    0.3500E+02    0.1256E+02    0.2167E+02    Rayleigh
  63      4    20         874    0.7554E-09    0.3501E+02    0.1202E+02    0.2237E+02    Rayleigh
 127      4    20         198    0.3230E-09    0.3513E+02    0.1370E+02    0.2106E+02    Rayleigh
 255      4    20          68    0.7737E-09    0.3520E+02    0.1229E+02    0.2283E+02    Rayleigh
 511      4    20          13    0.9391E-09    0.3634E+02    0.1641E+02    0.1989E+02    Rayleigh
  15      8    20       30925    0.1980E-05    0.3500E+02    0.1678E+02    0.1753E+02    Rayleigh
  31      8    20        2507    0.2292E-07    0.3500E+02    0.1397E+02    0.2019E+02    Rayleigh
  63      8    20         477    0.4119E-09    0.3501E+02    0.1241E+02    0.2205E+02    Rayleigh
 127      8    20          96    0.1551E-09    0.3513E+02    0.1339E+02    0.2143E+02    Rayleigh
 255      8    20          33    0.3704E-09    0.3572E+02    0.1338E+02    0.2224E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5817E+02    0.2633E+02    0.3176E+02    Rayleigh
  15     16    20        4669    0.2990E-06    0.3500E+02    0.1578E+02    0.1836E+02    Rayleigh
  31     16    20         735    0.6720E-08    0.3501E+02    0.1717E+02    0.1668E+02    Rayleigh
  63     16    20         304    0.2611E-09    0.3503E+02    0.1204E+02    0.2245E+02    Rayleigh
 127     16    20          75    0.1224E-09    0.3513E+02    0.1501E+02    0.1985E+02    Rayleigh
 255     16    20          13    0.1483E-09    0.3639E+02    0.1659E+02    0.1969E+02    Rayleigh
  15     32    20        2722    0.1743E-06    0.3500E+02    0.1347E+02    0.2056E+02    Rayleigh
  31     32    20         419    0.3831E-08    0.3502E+02    0.1583E+02    0.1813E+02    Rayleigh
  63     32    20         126    0.1098E-09    0.3513E+02    0.1465E+02    0.1991E+02    Rayleigh
 127     32    20          19    0.3240E-10    0.3560E+02    0.1815E+02    0.1724E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.5064E+02    0.2429E+02    0.2624E+02    Rayleigh
  15      2    20      150668    0.9647E-05    0.3500E+02    0.1708E+02    0.1711E+02    Rayleigh
  31      2    20       27701    0.2532E-06    0.3500E+02    0.1533E+02    0.1904E+02    Rayleigh
  63      2    20        1626    0.1404E-08    0.3500E+02    0.1240E+02    0.2161E+02    Rayleigh
 127      2    20         360    0.5921E-09    0.3501E+02    0.1344E+02    0.2104E+02    Rayleigh
 255      2    20         101    0.1152E-08    0.3509E+02    0.1472E+02    0.2008E+02    Rayleigh
 511      2    20          31    0.2222E-08    0.3530E+02    0.1545E+02    0.1980E+02    Rayleigh
  15     64    20        1005    0.6435E-07    0.3502E+02    0.1479E+02    0.1925E+02    Rayleigh
  31     64    20         252    0.2303E-08    0.3503E+02    0.1544E+02    0.1862E+02    Rayleigh
  63     64    20          59    0.5190E-10    0.3515E+02    0.1739E+02    0.1725E+02    Rayleigh
 127     64    20          15    0.2784E-10    0.3667E+02    0.1779E+02    0.1872E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1246E+03    0.6479E+02    0.5951E+02    Rayleigh
  15    128    20         297    0.1902E-07    0.3503E+02    0.1522E+02    0.1868E+02    Rayleigh
  31    128    20          79    0.7229E-09    0.3517E+02    0.1754E+02    0.1685E+02    Rayleigh
  63    128    20          17    0.1498E-10    0.3564E+02    0.1725E+02    0.1805E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7897E+02    0.4073E+02    0.3785E+02    Rayleigh
