#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       51456    0.3295E-05    0.3500E+02    0.1710E+02    0.1730E+02    Rayleigh
  31      4    20        3994    0.3651E-07    0.3500E+02    0.1356E+02    0.2065E+02    Rayleigh
  63      4    20         705    0.6082E-09    0.3502E+02    0.1230E+02    0.2206E+02    Rayleigh
 127      4    20         189    0.3078E-09    0.3509E+02    0.1338E+02    0.2135E+02    Rayleigh
 255      4    20          45    0.5064E-09    0.3533E+02    0.1445E+02    0.2071E+02    Rayleigh
 511      4    20          13    0.9391E-09    0.3596E+02    0.1626E+02    0.1967E+02    Rayleigh
  15      8    20       41021    0.2627E-05    0.3500E+02    0.1667E+02    0.1763E+02    Rayleigh
  31      8    20        2791    0.2552E-07    0.3500E+02    0.1379E+02    0.2035E+02    Rayleigh
  63      8    20         363    0.3128E-09    0.3501E+02    0.1252E+02    0.2176E+02    Rayleigh
 127      8    20          96    0.1551E-09    0.3512E+02    0.1325E+02    0.2149E+02    Rayleigh
 255      8    20          31    0.3489E-09    0.3541E+02    0.1605E+02    0.1920E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.4334E+02    0.2011E+02    0.2319E+02    Rayleigh
  15     16    20        9842    0.6302E-06    0.3500E+02    0.1461E+02    0.1975E+02    Rayleigh
  31     16    20         721    0.6592E-08    0.3501E+02    0.1723E+02    0.1664E+02    Rayleigh
  63     16    20         200    0.1726E-09    0.3507E+02    0.1839E+02    0.1594E+02    Rayleigh
 127     16    20          69    0.1160E-09    0.3528E+02    0.1544E+02    0.1950E+02    Rayleigh
 255     16    20          18    0.2037E-09    0.3636E+02    0.1533E+02    0.2091E+02    Rayleigh
  15     32    20        3047    0.1951E-06    0.3500E+02    0.1435E+02    0.1967E+02    Rayleigh
  31     32    20         597    0.5459E-08    0.3503E+02    0.1262E+02    0.2153E+02    Rayleigh
  63     32    20         143    0.1247E-09    0.3503E+02    0.1450E+02    0.2005E+02    Rayleigh
 127     32    20          36    0.6461E-10    0.3518E+02    0.1377E+02    0.2120E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.3602E+02    0.1575E+02    0.2018E+02    Rayleigh
  15      2    20      152458    0.9762E-05    0.3500E+02    0.1697E+02    0.1724E+02    Rayleigh
  31      2    20       32209    0.2944E-06    0.3500E+02    0.1565E+02    0.1881E+02    Rayleigh
  63      2    20        2418    0.2088E-08    0.3501E+02    0.1007E+02    0.2437E+02    Rayleigh
 127      2    20         308    0.5077E-09    0.3504E+02    0.1337E+02    0.2114E+02    Rayleigh
 255      2    20         113    0.1288E-08    0.3511E+02    0.1700E+02    0.1776E+02    Rayleigh
 511      2    20          25    0.1793E-08    0.3577E+02    0.1603E+02    0.1967E+02    Rayleigh
  15     64    20        1863    0.1193E-06    0.3502E+02    0.1497E+02    0.1901E+02    Rayleigh
  31     64    20         192    0.1756E-08    0.3503E+02    0.1722E+02    0.1660E+02    Rayleigh
  63     64    20          33    0.2888E-10    0.3514E+02    0.1788E+02    0.1682E+02    Rayleigh
 127     64    20          10    0.1830E-10    0.3801E+02    0.1937E+02    0.1847E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1249E+03    0.6139E+02    0.6326E+02    Rayleigh
  15    128    20         431    0.2760E-07    0.3502E+02    0.1596E+02    0.1755E+02    Rayleigh
  31    128    20          79    0.7229E-09    0.3524E+02    0.1752E+02    0.1703E+02    Rayleigh
  63    128    20          15    0.1339E-10    0.3522E+02    0.1800E+02    0.1681E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7686E+02    0.4188E+02    0.3448E+02    Rayleigh
