#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       50880    0.3258E-05    0.3500E+02    0.1661E+02    0.1776E+02    Rayleigh
  31      4    20        4988    0.4560E-07    0.3501E+02    0.1434E+02    0.2004E+02    Rayleigh
  63      4    20         653    0.5627E-09    0.3503E+02    0.1263E+02    0.2169E+02    Rayleigh
 127      4    20         208    0.3396E-09    0.3504E+02    0.1303E+02    0.2168E+02    Rayleigh
 255      4    20          51    0.5773E-09    0.3530E+02    0.1628E+02    0.1884E+02    Rayleigh
 511      4    20          14    0.1011E-08    0.3567E+02    0.1559E+02    0.2004E+02    Rayleigh
  15      8    20       34595    0.2215E-05    0.3500E+02    0.1644E+02    0.1783E+02    Rayleigh
  31      8    20        2312    0.2113E-07    0.3500E+02    0.1343E+02    0.2063E+02    Rayleigh
  63      8    20         455    0.3929E-09    0.3501E+02    0.1196E+02    0.2236E+02    Rayleigh
 127      8    20          91    0.1469E-09    0.3513E+02    0.1340E+02    0.2136E+02    Rayleigh
 255      8    20          32    0.3593E-09    0.3501E+02    0.1512E+02    0.1974E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5932E+02    0.2871E+02    0.3053E+02    Rayleigh
  15     16    20        7639    0.4891E-06    0.3500E+02    0.1530E+02    0.1903E+02    Rayleigh
  31     16    20        1210    0.1106E-07    0.3501E+02    0.1330E+02    0.2057E+02    Rayleigh
  63     16    20         263    0.2256E-09    0.3502E+02    0.1178E+02    0.2265E+02    Rayleigh
 127     16    20          68    0.1149E-09    0.3527E+02    0.1552E+02    0.1942E+02    Rayleigh
 255     16    20          11    0.1261E-09    0.3566E+02    0.1762E+02    0.1793E+02    Rayleigh
  15     32    20        2678    0.1715E-06    0.3500E+02    0.1356E+02    0.2038E+02    Rayleigh
  31     32    20         415    0.3795E-08    0.3503E+02    0.1553E+02    0.1846E+02    Rayleigh
  63     32    20         111    0.9676E-10    0.3513E+02    0.1621E+02    0.1834E+02    Rayleigh
 127     32    20          19    0.3240E-10    0.3559E+02    0.1781E+02    0.1758E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.6065E+02    0.3187E+02    0.2866E+02    Rayleigh
  15      2    20      102089    0.6537E-05    0.3500E+02    0.1691E+02    0.1737E+02    Rayleigh
  31      2    20       23921    0.2187E-06    0.3500E+02    0.1583E+02    0.1858E+02    Rayleigh
  63      2    20        1624    0.1402E-08    0.3500E+02    0.1225E+02    0.2177E+02    Rayleigh
 127      2    20         403    0.6662E-09    0.3501E+02    0.1360E+02    0.2084E+02    Rayleigh
 255      2    20          97    0.1107E-08    0.3516E+02    0.1516E+02    0.1974E+02    Rayleigh
 511      2    20          25    0.1793E-08    0.3539E+02    0.1537E+02    0.1997E+02    Rayleigh
  15     64    20         903    0.5782E-07    0.3500E+02    0.1502E+02    0.1869E+02    Rayleigh
  31     64    20         192    0.1756E-08    0.3502E+02    0.1683E+02    0.1709E+02    Rayleigh
  63     64    20          38    0.3347E-10    0.3537E+02    0.1813E+02    0.1675E+02    Rayleigh
 127     64    20          10    0.1830E-10    0.3799E+02    0.2024E+02    0.1752E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1297E+03    0.6113E+02    0.6828E+02    Rayleigh
  15    128    20         347    0.2222E-07    0.3504E+02    0.1540E+02    0.1857E+02    Rayleigh
  31    128    20         109    0.9966E-09    0.3510E+02    0.1001E+02    0.2453E+02    Rayleigh
  63    128    20          17    0.1498E-10    0.3519E+02    0.1543E+02    0.1943E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7573E+02    0.3945E+02    0.3577E+02    Rayleigh
