#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       64640    0.4139E-05    0.3500E+02    0.1678E+02    0.1755E+02    Rayleigh
  31      4    20        4172    0.3814E-07    0.3500E+02    0.1363E+02    0.2055E+02    Rayleigh
  63      4    20         615    0.5303E-09    0.3501E+02    0.1248E+02    0.2184E+02    Rayleigh
 127      4    20         203    0.3312E-09    0.3512E+02    0.1345E+02    0.2131E+02    Rayleigh
 255      4    20          58    0.6589E-09    0.3516E+02    0.1409E+02    0.2095E+02    Rayleigh
 511      4    20          14    0.1011E-08    0.3506E+02    0.1581E+02    0.1920E+02    Rayleigh
  15      8    20       30237    0.1936E-05    0.3500E+02    0.1685E+02    0.1737E+02    Rayleigh
  31      8    20        2459    0.2248E-07    0.3500E+02    0.1369E+02    0.2030E+02    Rayleigh
  63      8    20         422    0.3638E-09    0.3503E+02    0.1591E+02    0.1830E+02    Rayleigh
 127      8    20          94    0.1518E-09    0.3521E+02    0.1431E+02    0.2054E+02    Rayleigh
 255      8    20          28    0.3153E-09    0.3566E+02    0.1465E+02    0.2088E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5819E+02    0.2758E+02    0.3053E+02    Rayleigh
  15     16    20        5628    0.3604E-06    0.3500E+02    0.1517E+02    0.1896E+02    Rayleigh
  31     16    20        1221    0.1116E-07    0.3501E+02    0.1314E+02    0.2075E+02    Rayleigh
  63     16    20         260    0.2231E-09    0.3502E+02    0.1442E+02    0.1992E+02    Rayleigh
 127     16    20          86    0.1385E-09    0.3512E+02    0.1529E+02    0.1957E+02    Rayleigh
 255     16    20          18    0.2037E-09    0.3631E+02    0.1525E+02    0.2094E+02    Rayleigh
  15     32    20        2896    0.1854E-06    0.3500E+02    0.1485E+02    0.1920E+02    Rayleigh
  31     32    20         597    0.5459E-08    0.3503E+02    0.1234E+02    0.2164E+02    Rayleigh
  63     32    20         111    0.9676E-10    0.3516E+02    0.1499E+02    0.1963E+02    Rayleigh
 127     32    20          20    0.3410E-10    0.3539E+02    0.1773E+02    0.1745E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.6066E+02    0.3057E+02    0.2996E+02    Rayleigh
  15      2    20       99885    0.6396E-05    0.3500E+02    0.1683E+02    0.1743E+02    Rayleigh
  31      2    20       31929    0.2919E-06    0.3500E+02    0.1535E+02    0.1899E+02    Rayleigh
  63      2    20        1187    0.1025E-08    0.3501E+02    0.1238E+02    0.2163E+02    Rayleigh
 127      2    20         355    0.5836E-09    0.3500E+02    0.1298E+02    0.2147E+02    Rayleigh
 255      2    20          82    0.9331E-09    0.3516E+02    0.1469E+02    0.2024E+02    Rayleigh
 511      2    20          25    0.1793E-08    0.3543E+02    0.1561E+02    0.1976E+02    Rayleigh
  15     64    20        1114    0.7133E-07    0.3501E+02    0.1453E+02    0.1946E+02    Rayleigh
  31     64    20         198    0.1810E-08    0.3506E+02    0.1714E+02    0.1675E+02    Rayleigh
  63     64    20          32    0.2801E-10    0.3539E+02    0.1825E+02    0.1669E+02    Rayleigh
 127     64    20          10    0.1830E-10    0.3830E+02    0.2065E+02    0.1745E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.9530E+02    0.4480E+02    0.5029E+02    Rayleigh
  15    128    20         454    0.2907E-07    0.3505E+02    0.1326E+02    0.2085E+02    Rayleigh
  31    128    20         100    0.9143E-09    0.3516E+02    0.1587E+02    0.1866E+02    Rayleigh
  63    128    20          24    0.2131E-10    0.3500E+02    0.1828E+02    0.1651E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.3723E+02    0.1887E+02    0.1819E+02    Rayleigh
