#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       60035    0.3844E-05    0.3500E+02    0.1693E+02    0.1741E+02    Rayleigh
  31      4    20        3720    0.3401E-07    0.3500E+02    0.1339E+02    0.2080E+02    Rayleigh
  63      4    20         781    0.6746E-09    0.3502E+02    0.1570E+02    0.1867E+02    Rayleigh
 127      4    20         261    0.4306E-09    0.3509E+02    0.1130E+02    0.2355E+02    Rayleigh
 255      4    20          41    0.4615E-09    0.3512E+02    0.1481E+02    0.2016E+02    Rayleigh
 511      4    20          20    0.1438E-08    0.3659E+02    0.1527E+02    0.2129E+02    Rayleigh
  15      8    20       30415    0.1947E-05    0.3500E+02    0.1663E+02    0.1763E+02    Rayleigh
  31      8    20        2488    0.2274E-07    0.3500E+02    0.1339E+02    0.2066E+02    Rayleigh
  63      8    20         586    0.5065E-09    0.3501E+02    0.9646E+01    0.2494E+02    Rayleigh
 127      8    20         139    0.2266E-09    0.3522E+02    0.1244E+02    0.2251E+02    Rayleigh
 255      8    20          28    0.3153E-09    0.3518E+02    0.1403E+02    0.2102E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5838E+02    0.2982E+02    0.2847E+02    Rayleigh
  15     16    20       10569    0.6767E-06    0.3500E+02    0.1553E+02    0.1879E+02    Rayleigh
  31     16    20         780    0.7131E-08    0.3501E+02    0.1688E+02    0.1701E+02    Rayleigh
  63     16    20         264    0.2265E-09    0.3507E+02    0.1202E+02    0.2237E+02    Rayleigh
 127     16    20          86    0.1385E-09    0.3515E+02    0.1547E+02    0.1940E+02    Rayleigh
 255     16    20          18    0.2037E-09    0.3618E+02    0.1582E+02    0.2027E+02    Rayleigh
  15     32    20        2881    0.1845E-06    0.3500E+02    0.1373E+02    0.2034E+02    Rayleigh
  31     32    20         796    0.7277E-08    0.3500E+02    0.1434E+02    0.1980E+02    Rayleigh
  63     32    20         103    0.8985E-10    0.3507E+02    0.1614E+02    0.1834E+02    Rayleigh
 127     32    20          30    0.5343E-10    0.3544E+02    0.1492E+02    0.2037E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.5426E+02    0.2397E+02    0.3019E+02    Rayleigh
  15      2    20      123885    0.7932E-05    0.3500E+02    0.1691E+02    0.1733E+02    Rayleigh
  31      2    20       21308    0.1948E-06    0.3500E+02    0.1487E+02    0.1951E+02    Rayleigh
  63      2    20        1207    0.1042E-08    0.3502E+02    0.1230E+02    0.2170E+02    Rayleigh
 127      2    20         324    0.5349E-09    0.3501E+02    0.1390E+02    0.2058E+02    Rayleigh
 255      2    20         133    0.1520E-08    0.3501E+02    0.1342E+02    0.2143E+02    Rayleigh
 511      2    20          28    0.2006E-08    0.3549E+02    0.1552E+02    0.1991E+02    Rayleigh
  15     64    20         838    0.5366E-07    0.3501E+02    0.1512E+02    0.1873E+02    Rayleigh
  31     64    20         231    0.2112E-08    0.3506E+02    0.1629E+02    0.1783E+02    Rayleigh
  63     64    20          69    0.6074E-10    0.3526E+02    0.1460E+02    0.2015E+02    Rayleigh
 127     64    20          14    0.2603E-10    0.3518E+02    0.1727E+02    0.1773E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.9443E+02    0.4504E+02    0.4919E+02    Rayleigh
  15    128    20         284    0.1819E-07    0.3503E+02    0.1545E+02    0.1852E+02    Rayleigh
  31    128    20          44    0.4029E-09    0.3510E+02    0.1776E+02    0.1662E+02    Rayleigh
  63    128    20          15    0.1339E-10    0.3564E+02    0.1935E+02    0.1587E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7313E+02    0.3671E+02    0.3583E+02    Rayleigh
