#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       55659    0.3564E-05    0.3500E+02    0.1666E+02    0.1771E+02    Rayleigh
  31      4    20        4713    0.4308E-07    0.3501E+02    0.1415E+02    0.2012E+02    Rayleigh
  63      4    20         888    0.7674E-09    0.3503E+02    0.1324E+02    0.2116E+02    Rayleigh
 127      4    20         190    0.3094E-09    0.3509E+02    0.1345E+02    0.2128E+02    Rayleigh
 255      4    20          52    0.5884E-09    0.3521E+02    0.1483E+02    0.2022E+02    Rayleigh
 511      4    20          16    0.1155E-08    0.3551E+02    0.1632E+02    0.1914E+02    Rayleigh
  15      8    20       36281    0.2323E-05    0.3500E+02    0.1669E+02    0.1757E+02    Rayleigh
  31      8    20        1902    0.1739E-07    0.3500E+02    0.1484E+02    0.1905E+02    Rayleigh
  63      8    20         479    0.4135E-09    0.3504E+02    0.1217E+02    0.2217E+02    Rayleigh
 127      8    20          95    0.1534E-09    0.3522E+02    0.1406E+02    0.2079E+02    Rayleigh
 255      8    20          26    0.2927E-09    0.3550E+02    0.1572E+02    0.1965E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.6102E+02    0.2892E+02    0.3203E+02    Rayleigh
  15     16    20        4630    0.2965E-06    0.3501E+02    0.1628E+02    0.1788E+02    Rayleigh
  31     16    20        1263    0.1154E-07    0.3500E+02    0.1257E+02    0.2137E+02    Rayleigh
  63     16    20         255    0.2188E-09    0.3510E+02    0.1455E+02    0.1987E+02    Rayleigh
 127     16    20          73    0.1202E-09    0.3504E+02    0.1498E+02    0.1980E+02    Rayleigh
 255     16    20          11    0.1261E-09    0.3628E+02    0.1786E+02    0.1830E+02    Rayleigh
  15     32    20        1672    0.1071E-06    0.3500E+02    0.1541E+02    0.1834E+02    Rayleigh
  31     32    20         605    0.5532E-08    0.3504E+02    0.1443E+02    0.1950E+02    Rayleigh
  63     32    20         101    0.8832E-10    0.3516E+02    0.1617E+02    0.1842E+02    Rayleigh
 127     32    20          19    0.3240E-10    0.3566E+02    0.1735E+02    0.1812E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.6124E+02    0.3218E+02    0.2892E+02    Rayleigh
  15      2    20      134907    0.8638E-05    0.3500E+02    0.1692E+02    0.1730E+02    Rayleigh
  31      2    20       31872    0.2914E-06    0.3500E+02    0.1506E+02    0.1937E+02    Rayleigh
  63      2    20        1667    0.1440E-08    0.3502E+02    0.1233E+02    0.2169E+02    Rayleigh
 127      2    20         294    0.4841E-09    0.3505E+02    0.1356E+02    0.2095E+02    Rayleigh
 255      2    20          99    0.1130E-08    0.3522E+02    0.1466E+02    0.2031E+02    Rayleigh
 511      2    20          27    0.1935E-08    0.3587E+02    0.1554E+02    0.2027E+02    Rayleigh
  15     64    20        1006    0.6442E-07    0.3502E+02    0.1452E+02    0.1925E+02    Rayleigh
  31     64    20         306    0.2796E-08    0.3503E+02    0.1493E+02    0.1907E+02    Rayleigh
  63     64    20          38    0.3347E-10    0.3546E+02    0.1855E+02    0.1644E+02    Rayleigh
 127     64    20          10    0.1830E-10    0.3757E+02    0.1854E+02    0.1884E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1198E+03    0.5389E+02    0.6563E+02    Rayleigh
  15    128    20        1098    0.7031E-07    0.3502E+02    0.1500E+02    0.1896E+02    Rayleigh
  31    128    20          55    0.5030E-09    0.3520E+02    0.1723E+02    0.1720E+02    Rayleigh
  63    128    20          17    0.1498E-10    0.3576E+02    0.1732E+02    0.1811E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7641E+02    0.4156E+02    0.3436E+02    Rayleigh
