#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       85123    0.5450E-05    0.3500E+02    0.1696E+02    0.1738E+02    Rayleigh
  31      4    20        5249    0.4799E-07    0.3500E+02    0.1408E+02    0.2003E+02    Rayleigh
  63      4    20        1107    0.9572E-09    0.3500E+02    0.1118E+02    0.2333E+02    Rayleigh
 127      4    20         188    0.3062E-09    0.3507E+02    0.1307E+02    0.2164E+02    Rayleigh
 255      4    20          91    0.1037E-08    0.3502E+02    0.1587E+02    0.1904E+02    Rayleigh
 511      4    20          15    0.1083E-08    0.3607E+02    0.1564E+02    0.2039E+02    Rayleigh
  15      8    20       36112    0.2312E-05    0.3500E+02    0.1641E+02    0.1791E+02    Rayleigh
  31      8    20        3251    0.2972E-07    0.3500E+02    0.1390E+02    0.2018E+02    Rayleigh
  63      8    20         439    0.3793E-09    0.3501E+02    0.1194E+02    0.2254E+02    Rayleigh
 127      8    20         106    0.1721E-09    0.3527E+02    0.1473E+02    0.2012E+02    Rayleigh
 255      8    20          31    0.3489E-09    0.3522E+02    0.1272E+02    0.2240E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5164E+02    0.2468E+02    0.2690E+02    Rayleigh
  15     16    20        3913    0.2506E-06    0.3500E+02    0.1504E+02    0.1898E+02    Rayleigh
  31     16    20         749    0.6848E-08    0.3500E+02    0.1734E+02    0.1658E+02    Rayleigh
  63     16    20         198    0.1709E-09    0.3504E+02    0.1844E+02    0.1576E+02    Rayleigh
 127     16    20          66    0.1129E-09    0.3502E+02    0.1424E+02    0.2051E+02    Rayleigh
 255     16    20          12    0.1376E-09    0.3507E+02    0.1584E+02    0.1917E+02    Rayleigh
  15     32    20        1690    0.1082E-06    0.3501E+02    0.1566E+02    0.1812E+02    Rayleigh
  31     32    20         374    0.3419E-08    0.3501E+02    0.1551E+02    0.1846E+02    Rayleigh
  63     32    20         138    0.1206E-09    0.3501E+02    0.1520E+02    0.1932E+02    Rayleigh
 127     32    20          18    0.3057E-10    0.3534E+02    0.1819E+02    0.1695E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.6176E+02    0.3160E+02    0.3000E+02    Rayleigh
  15      2    20      152872    0.9788E-05    0.3500E+02    0.1697E+02    0.1723E+02    Rayleigh
  31      2    20       29849    0.2729E-06    0.3500E+02    0.1549E+02    0.1885E+02    Rayleigh
  63      2    20        1589    0.1371E-08    0.3501E+02    0.1212E+02    0.2190E+02    Rayleigh
 127      2    20         339    0.5577E-09    0.3502E+02    0.1363E+02    0.2080E+02    Rayleigh
 255      2    20          95    0.1083E-08    0.3513E+02    0.1482E+02    0.2007E+02    Rayleigh
 511      2    20          26    0.1864E-08    0.3622E+02    0.1598E+02    0.2018E+02    Rayleigh
  15     64    20         929    0.5949E-07    0.3502E+02    0.1424E+02    0.1968E+02    Rayleigh
  31     64    20         183    0.1673E-08    0.3506E+02    0.1665E+02    0.1730E+02    Rayleigh
  63     64    20          69    0.6074E-10    0.3536E+02    0.1410E+02    0.2077E+02    Rayleigh
 127     64    20          10    0.1830E-10    0.3906E+02    0.1947E+02    0.1939E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1250E+03    0.6341E+02    0.6131E+02    Rayleigh
  15    128    20         344    0.2203E-07    0.3501E+02    0.1538E+02    0.1852E+02    Rayleigh
  31    128    20          50    0.4573E-09    0.3525E+02    0.1755E+02    0.1693E+02    Rayleigh
  63    128    20          46    0.4037E-10    0.3558E+02    0.1444E+02    0.2081E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7371E+02    0.3638E+02    0.3673E+02    Rayleigh
