#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       42895    0.2747E-05    0.3500E+02    0.1679E+02    0.1765E+02    Rayleigh
  31      4    20        9004    0.8232E-07    0.3500E+02    0.1747E+02    0.1717E+02    Rayleigh
  63      4    20         887    0.7665E-09    0.3501E+02    0.1215E+02    0.2221E+02    Rayleigh
 127      4    20         223    0.3645E-09    0.3507E+02    0.1370E+02    0.2103E+02    Rayleigh
 255      4    20          54    0.6125E-09    0.3522E+02    0.1577E+02    0.1926E+02    Rayleigh
 511      4    20          14    0.1011E-08    0.3650E+02    0.1671E+02    0.1975E+02    Rayleigh
  15      8    20       33396    0.2138E-05    0.3500E+02    0.1643E+02    0.1788E+02    Rayleigh
  31      8    20        1982    0.1812E-07    0.3500E+02    0.1523E+02    0.1866E+02    Rayleigh
  63      8    20         463    0.3993E-09    0.3504E+02    0.1210E+02    0.2222E+02    Rayleigh
 127      8    20         114    0.1861E-09    0.3519E+02    0.1590E+02    0.1886E+02    Rayleigh
 255      8    20          28    0.3153E-09    0.3508E+02    0.1440E+02    0.2055E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5603E+02    0.2735E+02    0.2859E+02    Rayleigh
  15     16    20        3439    0.2202E-06    0.3500E+02    0.1531E+02    0.1870E+02    Rayleigh
  31     16    20         736    0.6729E-08    0.3503E+02    0.1698E+02    0.1696E+02    Rayleigh
  63     16    20         201    0.1734E-09    0.3509E+02    0.1805E+02    0.1639E+02    Rayleigh
 127     16    20          73    0.1202E-09    0.3506E+02    0.1498E+02    0.1978E+02    Rayleigh
 255     16    20          16    0.1820E-09    0.3539E+02    0.1485E+02    0.2046E+02    Rayleigh
  15     32    20        1571    0.1006E-06    0.3500E+02    0.1490E+02    0.1886E+02    Rayleigh
  31     32    20         609    0.5569E-08    0.3503E+02    0.1439E+02    0.1955E+02    Rayleigh
  63     32    20         103    0.8985E-10    0.3521E+02    0.1702E+02    0.1762E+02    Rayleigh
 127     32    20          20    0.3410E-10    0.3601E+02    0.1727E+02    0.1854E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.4810E+02    0.2292E+02    0.2507E+02    Rayleigh
  15      2    20      139360    0.8923E-05    0.3500E+02    0.1696E+02    0.1726E+02    Rayleigh
  31      2    20       28875    0.2640E-06    0.3500E+02    0.1567E+02    0.1870E+02    Rayleigh
  63      2    20        1590    0.1372E-08    0.3500E+02    0.1203E+02    0.2198E+02    Rayleigh
 127      2    20         285    0.4704E-09    0.3502E+02    0.1351E+02    0.2100E+02    Rayleigh
 255      2    20          84    0.9570E-09    0.3521E+02    0.1459E+02    0.2038E+02    Rayleigh
 511      2    20          28    0.2006E-08    0.3557E+02    0.1558E+02    0.1992E+02    Rayleigh
  15     64    20         831    0.5321E-07    0.3501E+02    0.1502E+02    0.1872E+02    Rayleigh
  31     64    20         244    0.2230E-08    0.3503E+02    0.1606E+02    0.1795E+02    Rayleigh
  63     64    20          38    0.3347E-10    0.3547E+02    0.1948E+02    0.1548E+02    Rayleigh
 127     64    20          13    0.2449E-10    0.3642E+02    0.1682E+02    0.1932E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1229E+03    0.6027E+02    0.6240E+02    Rayleigh
  15    128    20         324    0.2075E-07    0.3504E+02    0.1539E+02    0.1862E+02    Rayleigh
  31    128    20          82    0.7502E-09    0.3521E+02    0.1779E+02    0.1670E+02    Rayleigh
  63    128    20          17    0.1498E-10    0.3582E+02    0.1728E+02    0.1820E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7835E+02    0.4063E+02    0.3736E+02    Rayleigh
