#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       62003    0.3970E-05    0.3500E+02    0.1677E+02    0.1757E+02    Rayleigh
  31      4    20        3408    0.3115E-07    0.3500E+02    0.1368E+02    0.2050E+02    Rayleigh
  63      4    20         612    0.5276E-09    0.3502E+02    0.1324E+02    0.2109E+02    Rayleigh
 127      4    20         195    0.3177E-09    0.3511E+02    0.1333E+02    0.2145E+02    Rayleigh
 255      4    20          49    0.5537E-09    0.3522E+02    0.1464E+02    0.2040E+02    Rayleigh
 511      4    20          13    0.9391E-09    0.3604E+02    0.1633E+02    0.1967E+02    Rayleigh
  15      8    20       37880    0.2425E-05    0.3500E+02    0.1668E+02    0.1760E+02    Rayleigh
  31      8    20        1870    0.1710E-07    0.3501E+02    0.1546E+02    0.1844E+02    Rayleigh
  63      8    20         452    0.3903E-09    0.3501E+02    0.1255E+02    0.2178E+02    Rayleigh
 127      8    20         100    0.1618E-09    0.3505E+02    0.1394E+02    0.2078E+02    Rayleigh
 255      8    20          27    0.3041E-09    0.3599E+02    0.1502E+02    0.2084E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5599E+02    0.2764E+02    0.2825E+02    Rayleigh
  15     16    20        3850    0.2465E-06    0.3500E+02    0.1531E+02    0.1877E+02    Rayleigh
  31     16    20         748    0.6839E-08    0.3500E+02    0.1585E+02    0.1817E+02    Rayleigh
  63     16    20         203    0.1751E-09    0.3507E+02    0.1739E+02    0.1706E+02    Rayleigh
 127     16    20          70    0.1171E-09    0.3513E+02    0.1540E+02    0.1941E+02    Rayleigh
 255     16    20          12    0.1376E-09    0.3630E+02    0.1793E+02    0.1826E+02    Rayleigh
  15     32    20        1761    0.1128E-06    0.3500E+02    0.1563E+02    0.1810E+02    Rayleigh
  31     32    20         444    0.4060E-08    0.3505E+02    0.1658E+02    0.1732E+02    Rayleigh
  63     32    20          93    0.8190E-10    0.3511E+02    0.1696E+02    0.1762E+02    Rayleigh
 127     32    20          25    0.4419E-10    0.3530E+02    0.1586E+02    0.1924E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.5893E+02    0.3006E+02    0.2871E+02    Rayleigh
  15      2    20      113299    0.7254E-05    0.3500E+02    0.1692E+02    0.1735E+02    Rayleigh
  31      2    20       29898    0.2733E-06    0.3500E+02    0.1455E+02    0.1982E+02    Rayleigh
  63      2    20        1503    0.1297E-08    0.3500E+02    0.1570E+02    0.1855E+02    Rayleigh
 127      2    20         336    0.5528E-09    0.3506E+02    0.1345E+02    0.2108E+02    Rayleigh
 255      2    20          98    0.1118E-08    0.3511E+02    0.1459E+02    0.2025E+02    Rayleigh
 511      2    20          31    0.2222E-08    0.3549E+02    0.1589E+02    0.1956E+02    Rayleigh
  15     64    20         886    0.5673E-07    0.3502E+02    0.1427E+02    0.1947E+02    Rayleigh
  31     64    20         296    0.2705E-08    0.3503E+02    0.1373E+02    0.2032E+02    Rayleigh
  63     64    20          36    0.3182E-10    0.3543E+02    0.1906E+02    0.1586E+02    Rayleigh
 127     64    20          14    0.2603E-10    0.3502E+02    0.1715E+02    0.1770E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1138E+03    0.5753E+02    0.5609E+02    Rayleigh
  15    128    20         432    0.2766E-07    0.3505E+02    0.1593E+02    0.1760E+02    Rayleigh
  31    128    20          78    0.7137E-09    0.3505E+02    0.1735E+02    0.1699E+02    Rayleigh
  63    128    20          18    0.1595E-10    0.3563E+02    0.1710E+02    0.1817E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7627E+02    0.4121E+02    0.3458E+02    Rayleigh
