#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       44983    0.2880E-05    0.3500E+02    0.1701E+02    0.1742E+02    Rayleigh
  31      4    20       17897    0.1636E-06    0.3500E+02    0.1516E+02    0.1938E+02    Rayleigh
  63      4    20         866    0.7487E-09    0.3502E+02    0.1251E+02    0.2191E+02    Rayleigh
 127      4    20         213    0.3466E-09    0.3505E+02    0.1340E+02    0.2132E+02    Rayleigh
 255      4    20          59    0.6704E-09    0.3535E+02    0.1468E+02    0.2050E+02    Rayleigh
 511      4    20          16    0.1155E-08    0.3619E+02    0.1544E+02    0.2070E+02    Rayleigh
  15      8    20       21220    0.1359E-05    0.3500E+02    0.1647E+02    0.1787E+02    Rayleigh
  31      8    20        1880    0.1719E-07    0.3500E+02    0.1420E+02    0.1977E+02    Rayleigh
  63      8    20         361    0.3109E-09    0.3504E+02    0.1218E+02    0.2212E+02    Rayleigh
 127      8    20         128    0.2084E-09    0.3517E+02    0.1268E+02    0.2221E+02    Rayleigh
 255      8    20          28    0.3153E-09    0.3554E+02    0.1448E+02    0.2094E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.6023E+02    0.2866E+02    0.3149E+02    Rayleigh
  15     16    20        4612    0.2953E-06    0.3500E+02    0.1619E+02    0.1800E+02    Rayleigh
  31     16    20        1138    0.1040E-07    0.3500E+02    0.1345E+02    0.2040E+02    Rayleigh
  63     16    20         198    0.1709E-09    0.3504E+02    0.1791E+02    0.1643E+02    Rayleigh
 127     16    20          79    0.1276E-09    0.3506E+02    0.1495E+02    0.1982E+02    Rayleigh
 255     16    20          12    0.1376E-09    0.3583E+02    0.1828E+02    0.1744E+02    Rayleigh
  15     32    20        1570    0.1005E-06    0.3501E+02    0.1559E+02    0.1815E+02    Rayleigh
  31     32    20         573    0.5240E-08    0.3502E+02    0.1463E+02    0.1933E+02    Rayleigh
  63     32    20         168    0.1453E-09    0.3510E+02    0.1374E+02    0.2075E+02    Rayleigh
 127     32    20          40    0.7206E-10    0.3506E+02    0.1273E+02    0.2212E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.3652E+02    0.1595E+02    0.2048E+02    Rayleigh
  15      2    20      148832    0.9530E-05    0.3500E+02    0.1697E+02    0.1723E+02    Rayleigh
  31      2    20       30741    0.2810E-06    0.3500E+02    0.1693E+02    0.1749E+02    Rayleigh
  63      2    20        1567    0.1353E-08    0.3500E+02    0.1531E+02    0.1893E+02    Rayleigh
 127      2    20         419    0.6914E-09    0.3503E+02    0.1374E+02    0.2070E+02    Rayleigh
 255      2    20         103    0.1174E-08    0.3515E+02    0.1468E+02    0.2020E+02    Rayleigh
 511      2    20          23    0.1651E-08    0.3532E+02    0.1523E+02    0.2004E+02    Rayleigh
  15     64    20         771    0.4937E-07    0.3502E+02    0.1464E+02    0.1928E+02    Rayleigh
  31     64    20         261    0.2385E-08    0.3505E+02    0.1541E+02    0.1864E+02    Rayleigh
  63     64    20          56    0.4935E-10    0.3514E+02    0.1794E+02    0.1667E+02    Rayleigh
 127     64    20          11    0.2025E-10    0.3595E+02    0.1774E+02    0.1803E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1242E+03    0.6459E+02    0.5931E+02    Rayleigh
  15    128    20         355    0.2273E-07    0.3505E+02    0.1497E+02    0.1897E+02    Rayleigh
  31    128    20          80    0.7321E-09    0.3520E+02    0.1792E+02    0.1651E+02    Rayleigh
  63    128    20          21    0.1868E-10    0.3556E+02    0.1828E+02    0.1676E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.8044E+02    0.4467E+02    0.3532E+02    Rayleigh
