#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       45913    0.2940E-05    0.3500E+02    0.1671E+02    0.1765E+02    Rayleigh
  31      4    20        4612    0.4216E-07    0.3500E+02    0.1396E+02    0.2020E+02    Rayleigh
  63      4    20         911    0.7870E-09    0.3501E+02    0.1347E+02    0.2091E+02    Rayleigh
 127      4    20         214    0.3482E-09    0.3511E+02    0.1354E+02    0.2120E+02    Rayleigh
 255      4    20          41    0.4615E-09    0.3509E+02    0.1456E+02    0.2036E+02    Rayleigh
 511      4    20          14    0.1011E-08    0.3566E+02    0.1572E+02    0.1990E+02    Rayleigh
  15      8    20       34346    0.2199E-05    0.3500E+02    0.1624E+02    0.1809E+02    Rayleigh
  31      8    20        1879    0.1718E-07    0.3501E+02    0.1495E+02    0.1895E+02    Rayleigh
  63      8    20         361    0.3109E-09    0.3504E+02    0.1269E+02    0.2171E+02    Rayleigh
 127      8    20          99    0.1599E-09    0.3507E+02    0.1373E+02    0.2100E+02    Rayleigh
 255      8    20          29    0.3267E-09    0.3527E+02    0.1475E+02    0.2038E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.6066E+02    0.2916E+02    0.3143E+02    Rayleigh
  15     16    20        3246    0.2078E-06    0.3500E+02    0.1509E+02    0.1895E+02    Rayleigh
  31     16    20         666    0.6089E-08    0.3503E+02    0.1569E+02    0.1830E+02    Rayleigh
  63     16    20         263    0.2256E-09    0.3505E+02    0.1229E+02    0.2220E+02    Rayleigh
 127     16    20          66    0.1129E-09    0.3527E+02    0.1552E+02    0.1948E+02    Rayleigh
 255     16    20          18    0.2037E-09    0.3573E+02    0.1487E+02    0.2076E+02    Rayleigh
  15     32    20        2264    0.1450E-06    0.3501E+02    0.1406E+02    0.1978E+02    Rayleigh
  31     32    20         412    0.3767E-08    0.3506E+02    0.1598E+02    0.1799E+02    Rayleigh
  63     32    20          95    0.8336E-10    0.3513E+02    0.1674E+02    0.1786E+02    Rayleigh
 127     32    20          40    0.7206E-10    0.3507E+02    0.1268E+02    0.2217E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.6243E+02    0.3096E+02    0.3132E+02    Rayleigh
  15      2    20      127249    0.8148E-05    0.3500E+02    0.1680E+02    0.1744E+02    Rayleigh
  31      2    20       28718    0.2625E-06    0.3500E+02    0.1531E+02    0.1907E+02    Rayleigh
  63      2    20        1538    0.1327E-08    0.3502E+02    0.1554E+02    0.1872E+02    Rayleigh
 127      2    20         400    0.6613E-09    0.3501E+02    0.1334E+02    0.2112E+02    Rayleigh
 255      2    20          88    0.1003E-08    0.3503E+02    0.1464E+02    0.2015E+02    Rayleigh
 511      2    20          27    0.1935E-08    0.3526E+02    0.1509E+02    0.2011E+02    Rayleigh
  15     64    20        1190    0.7620E-07    0.3502E+02    0.1416E+02    0.1975E+02    Rayleigh
  31     64    20         190    0.1737E-08    0.3505E+02    0.1709E+02    0.1678E+02    Rayleigh
  63     64    20          36    0.3182E-10    0.3514E+02    0.1838E+02    0.1628E+02    Rayleigh
 127     64    20          15    0.2784E-10    0.3544E+02    0.1555E+02    0.1973E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1151E+03    0.5707E+02    0.5776E+02    Rayleigh
  15    128    20         372    0.2382E-07    0.3506E+02    0.1412E+02    0.1971E+02    Rayleigh
  31    128    20          80    0.7321E-09    0.3505E+02    0.1766E+02    0.1666E+02    Rayleigh
  63    128    20          15    0.1339E-10    0.3525E+02    0.1803E+02    0.1680E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7921E+02    0.4197E+02    0.3686E+02    Rayleigh
