#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       43224    0.2768E-05    0.3500E+02    0.1704E+02    0.1734E+02    Rayleigh
  31      4    20        8908    0.8144E-07    0.3500E+02    0.1747E+02    0.1704E+02    Rayleigh
  63      4    20         640    0.5514E-09    0.3501E+02    0.1290E+02    0.2141E+02    Rayleigh
 127      4    20         258    0.4253E-09    0.3501E+02    0.1269E+02    0.2206E+02    Rayleigh
 255      4    20          47    0.5296E-09    0.3549E+02    0.1609E+02    0.1923E+02    Rayleigh
 511      4    20          17    0.1226E-08    0.3522E+02    0.1527E+02    0.1992E+02    Rayleigh
  15      8    20       34198    0.2190E-05    0.3500E+02    0.1675E+02    0.1753E+02    Rayleigh
  31      8    20        1981    0.1811E-07    0.3500E+02    0.1489E+02    0.1904E+02    Rayleigh
  63      8    20         358    0.3083E-09    0.3504E+02    0.1283E+02    0.2149E+02    Rayleigh
 127      8    20          95    0.1534E-09    0.3511E+02    0.1323E+02    0.2151E+02    Rayleigh
 255      8    20          29    0.3267E-09    0.3518E+02    0.1431E+02    0.2075E+02    Rayleigh
 511      8    20          10    0.7212E-09    0.5500E+02    0.2675E+02    0.2816E+02    Rayleigh
  15     16    20       10847    0.6945E-06    0.3500E+02    0.1629E+02    0.1804E+02    Rayleigh
  31     16    20        1265    0.1156E-07    0.3501E+02    0.1260E+02    0.2137E+02    Rayleigh
  63     16    20         260    0.2231E-09    0.3505E+02    0.1458E+02    0.1977E+02    Rayleigh
 127     16    20          60    0.1044E-09    0.3509E+02    0.1563E+02    0.1919E+02    Rayleigh
 255     16    20          12    0.1376E-09    0.3630E+02    0.1740E+02    0.1880E+02    Rayleigh
  15     32    20        1524    0.9758E-07    0.3500E+02    0.1483E+02    0.1898E+02    Rayleigh
  31     32    20         598    0.5468E-08    0.3501E+02    0.1246E+02    0.2167E+02    Rayleigh
  63     32    20         103    0.8985E-10    0.3507E+02    0.1678E+02    0.1771E+02    Rayleigh
 127     32    20          20    0.3410E-10    0.3564E+02    0.1820E+02    0.1723E+02    Rayleigh
 255     32    20          10    0.1196E-09    0.4287E+02    0.1969E+02    0.2307E+02    Rayleigh
  15      2    20      152827    0.9785E-05    0.3500E+02    0.1696E+02    0.1724E+02    Rayleigh
  31      2    20       29467    0.2694E-06    0.3500E+02    0.1510E+02    0.1931E+02    Rayleigh
  63      2    20        1650    0.1426E-08    0.3501E+02    0.1227E+02    0.2173E+02    Rayleigh
 127      2    20         449    0.7408E-09    0.3504E+02    0.1237E+02    0.2235E+02    Rayleigh
 255      2    20          99    0.1130E-08    0.3505E+02    0.1471E+02    0.2006E+02    Rayleigh
 511      2    20          27    0.1935E-08    0.3511E+02    0.1554E+02    0.1951E+02    Rayleigh
  15     64    20         880    0.5635E-07    0.3502E+02    0.1493E+02    0.1887E+02    Rayleigh
  31     64    20         297    0.2714E-08    0.3502E+02    0.1364E+02    0.2040E+02    Rayleigh
  63     64    20          68    0.6008E-10    0.3509E+02    0.1441E+02    0.2021E+02    Rayleigh
 127     64    20          15    0.2784E-10    0.3664E+02    0.1762E+02    0.1885E+02    Rayleigh
 255     64    20          10    0.1141E-09    0.1275E+03    0.6467E+02    0.6252E+02    Rayleigh
  15    128    20         282    0.1806E-07    0.3503E+02    0.1521E+02    0.1877E+02    Rayleigh
  31    128    20          79    0.7229E-09    0.3502E+02    0.1708E+02    0.1722E+02    Rayleigh
  63    128    20          16    0.1411E-10    0.3534E+02    0.1628E+02    0.1875E+02    Rayleigh
 127    128    20          10    0.1757E-10    0.7861E+02    0.4103E+02    0.3727E+02    Rayleigh
