#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       54843    0.8656E-07    0.3500E+02    0.1423E+02    0.2028E+02    SHTns
  31      4    20       13756    0.2283E-07    0.3500E+02    0.1329E+02    0.2136E+02    SHTns
  63      4    20        2476    0.7830E-08    0.3501E+02    0.1406E+02    0.2060E+02    SHTns
 127      4    20         294    0.9014E-09    0.3501E+02    0.1318E+02    0.2170E+02    SHTns
 255      4    20          44    0.1200E-09    0.3512E+02    0.1248E+02    0.2261E+02    SHTns
 511      4    20          10    0.9620E-10    0.4846E+02    0.1964E+02    0.2881E+02    SHTns
  15      8    20       38405    0.6060E-07    0.3500E+02    0.1219E+02    0.2223E+02    SHTns
  31      8    20        6239    0.1036E-07    0.3500E+02    0.1356E+02    0.2054E+02    SHTns
  63      8    20        1271    0.4021E-08    0.3502E+02    0.1410E+02    0.2055E+02    SHTns
 127      8    20         169    0.5177E-09    0.3514E+02    0.1292E+02    0.2211E+02    SHTns
 255      8    20          30    0.8162E-10    0.3541E+02    0.1307E+02    0.2229E+02    SHTns
 511      8    20          10    0.9620E-10    0.1004E+03    0.3473E+02    0.6567E+02    SHTns
  15     16    20       18700    0.2952E-07    0.3500E+02    0.1244E+02    0.2187E+02    SHTns
  31     16    20        3499    0.5813E-08    0.3500E+02    0.1378E+02    0.2024E+02    SHTns
  63     16    20         603    0.1903E-08    0.3501E+02    0.1392E+02    0.2069E+02    SHTns
 127     16    20         102    0.3131E-09    0.3524E+02    0.1309E+02    0.2203E+02    SHTns
 255     16    20          13    0.3509E-10    0.3724E+02    0.1362E+02    0.2359E+02    SHTns
 511     16    20          10    0.9620E-10    0.1649E+03    0.6117E+02    0.1037E+03    SHTns
  15     32    20        7773    0.1227E-07    0.3500E+02    0.1136E+02    0.2243E+02    SHTns
  31     32    20        1625    0.2710E-08    0.3502E+02    0.1368E+02    0.2003E+02    SHTns
  63     32    20         241    0.7623E-09    0.3500E+02    0.1362E+02    0.2108E+02    SHTns
 127     32    20          52    0.1599E-09    0.3549E+02    0.1347E+02    0.2191E+02    SHTns
 255     32    20          10    0.2697E-10    0.5550E+02    0.1955E+02    0.3590E+02    SHTns
  15      2    20       69542    0.1098E-06    0.3500E+02    0.1389E+02    0.2054E+02    SHTns
  31      2    20       26680    0.4422E-07    0.3500E+02    0.1305E+02    0.2154E+02    SHTns
  63      2    20        5077    0.1605E-07    0.3500E+02    0.1360E+02    0.2107E+02    SHTns
 127      2    20         646    0.1976E-08    0.3501E+02    0.1297E+02    0.2185E+02    SHTns
 255      2    20          71    0.1927E-09    0.3502E+02    0.1306E+02    0.2192E+02    SHTns
 511      2    20          11    0.1058E-09    0.3784E+02    0.1439E+02    0.2344E+02    SHTns
  15     64    20        2380    0.3757E-08    0.3501E+02    0.1404E+02    0.1834E+02    SHTns
  31     64    20         871    0.1442E-08    0.3502E+02    0.1334E+02    0.2080E+02    SHTns
  63     64    20         159    0.5022E-09    0.3521E+02    0.1418E+02    0.2062E+02    SHTns
 127     64    20          26    0.8008E-10    0.3635E+02    0.1375E+02    0.2248E+02    SHTns
 255     64    20          10    0.2716E-10    0.1196E+03    0.4394E+02    0.7557E+02    SHTns
  15    128    20        1168    0.1843E-08    0.3501E+02    0.1451E+02    0.1732E+02    SHTns
  31    128    20         313    0.5228E-09    0.3500E+02    0.1373E+02    0.1919E+02    SHTns
  63    128    20          76    0.2411E-09    0.3543E+02    0.1450E+02    0.2042E+02    SHTns
 127    128    20          12    0.3712E-10    0.3761E+02    0.1433E+02    0.2318E+02    SHTns
