#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       47742    0.7535E-07    0.3500E+02    0.1416E+02    0.2041E+02    SHTns
  31      4    20       12526    0.2079E-07    0.3500E+02    0.1339E+02    0.2117E+02    SHTns
  63      4    20        2501    0.7909E-08    0.3501E+02    0.1361E+02    0.2109E+02    SHTns
 127      4    20         367    0.1125E-08    0.3508E+02    0.1322E+02    0.2171E+02    SHTns
 255      4    20          52    0.1422E-09    0.3550E+02    0.1316E+02    0.2231E+02    SHTns
 511      4    20          10    0.9620E-10    0.5244E+02    0.1895E+02    0.3347E+02    SHTns
  15      8    20       38309    0.6045E-07    0.3500E+02    0.1221E+02    0.2220E+02    SHTns
  31      8    20        4565    0.7581E-08    0.3500E+02    0.1337E+02    0.2089E+02    SHTns
  63      8    20        1262    0.3993E-08    0.3502E+02    0.1416E+02    0.2044E+02    SHTns
 127      8    20         197    0.6038E-09    0.3510E+02    0.1328E+02    0.2165E+02    SHTns
 255      8    20          27    0.7326E-10    0.3528E+02    0.1306E+02    0.2218E+02    SHTns
 511      8    20          10    0.9620E-10    0.8637E+02    0.3408E+02    0.5227E+02    SHTns
  15     16    20       13806    0.2180E-07    0.3500E+02    0.1441E+02    0.1986E+02    SHTns
  31     16    20        3223    0.5351E-08    0.3501E+02    0.1340E+02    0.2030E+02    SHTns
  63     16    20         581    0.1833E-08    0.3505E+02    0.1387E+02    0.2080E+02    SHTns
 127     16    20         103    0.3162E-09    0.3526E+02    0.1378E+02    0.2134E+02    SHTns
 255     16    20          14    0.3796E-10    0.3710E+02    0.1395E+02    0.2311E+02    SHTns
 511     16    20          10    0.9620E-10    0.1808E+03    0.6568E+02    0.1150E+03    SHTns
  15     32    20        8558    0.1351E-07    0.3500E+02    0.1246E+02    0.2128E+02    SHTns
  31     32    20        1638    0.2732E-08    0.3501E+02    0.1334E+02    0.2030E+02    SHTns
  63     32    20         256    0.8095E-09    0.3511E+02    0.1373E+02    0.2104E+02    SHTns
 127     32    20          46    0.1418E-09    0.3569E+02    0.1335E+02    0.2220E+02    SHTns
 255     32    20          10    0.2697E-10    0.4661E+02    0.1731E+02    0.2925E+02    SHTns
  15      2    20      119608    0.1888E-06    0.3500E+02    0.1412E+02    0.2023E+02    SHTns
  31      2    20       17047    0.2828E-07    0.3500E+02    0.1293E+02    0.2173E+02    SHTns
  63      2    20        4599    0.1454E-07    0.3500E+02    0.1352E+02    0.2104E+02    SHTns
 127      2    20         669    0.2047E-08    0.3500E+02    0.1286E+02    0.2197E+02    SHTns
 255      2    20          72    0.1954E-09    0.3501E+02    0.1314E+02    0.2183E+02    SHTns
 511      2    20          15    0.1440E-09    0.3592E+02    0.1296E+02    0.2293E+02    SHTns
  15     64    20        2429    0.3835E-08    0.3500E+02    0.1417E+02    0.1823E+02    SHTns
  31     64    20         871    0.1442E-08    0.3502E+02    0.1332E+02    0.2084E+02    SHTns
  63     64    20         157    0.4958E-09    0.3508E+02    0.1419E+02    0.2042E+02    SHTns
 127     64    20          24    0.7371E-10    0.3703E+02    0.1374E+02    0.2318E+02    SHTns
 255     64    20          10    0.2716E-10    0.9701E+02    0.3765E+02    0.5925E+02    SHTns
  15    128    20         852    0.1348E-08    0.3500E+02    0.1396E+02    0.1794E+02    SHTns
  31    128    20         268    0.4477E-09    0.3501E+02    0.1365E+02    0.1961E+02    SHTns
  63    128    20          68    0.2158E-09    0.3517E+02    0.1390E+02    0.2092E+02    SHTns
 127    128    20          12    0.3712E-10    0.3708E+02    0.1525E+02    0.2172E+02    SHTns
