#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       35180    0.5552E-07    0.3500E+02    0.1409E+02    0.2054E+02    SHTns
  31      4    20       14472    0.2401E-07    0.3500E+02    0.1333E+02    0.2131E+02    SHTns
  63      4    20        2368    0.7488E-08    0.3501E+02    0.1401E+02    0.2067E+02    SHTns
 127      4    20         407    0.1247E-08    0.3508E+02    0.1303E+02    0.2195E+02    SHTns
 255      4    20          49    0.1340E-09    0.3543E+02    0.1298E+02    0.2241E+02    SHTns
 511      4    20          10    0.9620E-10    0.3911E+02    0.1527E+02    0.2383E+02    SHTns
  15      8    20       38327    0.6048E-07    0.3500E+02    0.1221E+02    0.2219E+02    SHTns
  31      8    20        5962    0.9902E-08    0.3500E+02    0.1349E+02    0.2064E+02    SHTns
  63      8    20        1156    0.3656E-08    0.3500E+02    0.1402E+02    0.2058E+02    SHTns
 127      8    20         129    0.3960E-09    0.3513E+02    0.1308E+02    0.2196E+02    SHTns
 255      8    20          31    0.8443E-10    0.3593E+02    0.1318E+02    0.2271E+02    SHTns
 511      8    20          10    0.9620E-10    0.8906E+02    0.3529E+02    0.5375E+02    SHTns
  15     16    20       13350    0.2108E-07    0.3500E+02    0.1272E+02    0.2156E+02    SHTns
  31     16    20        3033    0.5033E-08    0.3501E+02    0.1351E+02    0.2017E+02    SHTns
  63     16    20         513    0.1618E-08    0.3504E+02    0.1369E+02    0.2101E+02    SHTns
 127     16    20          94    0.2890E-09    0.3518E+02    0.1303E+02    0.2204E+02    SHTns
 255     16    20          13    0.3509E-10    0.3595E+02    0.1378E+02    0.2213E+02    SHTns
 511     16    20          10    0.9620E-10    0.1648E+03    0.6115E+02    0.1036E+03    SHTns
  15     32    20        8557    0.1351E-07    0.3500E+02    0.1245E+02    0.2124E+02    SHTns
  31     32    20        1778    0.2963E-08    0.3500E+02    0.1366E+02    0.2040E+02    SHTns
  63     32    20         239    0.7558E-09    0.3503E+02    0.1368E+02    0.2106E+02    SHTns
 127     32    20          47    0.1447E-09    0.3554E+02    0.1409E+02    0.2132E+02    SHTns
 255     32    20          10    0.2697E-10    0.4658E+02    0.1731E+02    0.2923E+02    SHTns
  15      2    20      125340    0.1979E-06    0.3500E+02    0.1415E+02    0.2019E+02    SHTns
  31      2    20       23468    0.3891E-07    0.3500E+02    0.1298E+02    0.2164E+02    SHTns
  63      2    20        4268    0.1349E-07    0.3501E+02    0.1352E+02    0.2098E+02    SHTns
 127      2    20         709    0.2170E-08    0.3501E+02    0.1332E+02    0.2149E+02    SHTns
 255      2    20          72    0.1954E-09    0.3507E+02    0.1253E+02    0.2249E+02    SHTns
 511      2    20          12    0.1154E-09    0.3508E+02    0.1224E+02    0.2283E+02    SHTns
  15     64    20        3654    0.5769E-08    0.3500E+02    0.1245E+02    0.2103E+02    SHTns
  31     64    20         842    0.1395E-08    0.3503E+02    0.1333E+02    0.2051E+02    SHTns
  63     64    20         137    0.4331E-09    0.3507E+02    0.1383E+02    0.2089E+02    SHTns
 127     64    20          25    0.7697E-10    0.3543E+02    0.1310E+02    0.2222E+02    SHTns
 255     64    20          10    0.2716E-10    0.8785E+02    0.3468E+02    0.5308E+02    SHTns
  15    128    20        1071    0.1691E-08    0.3501E+02    0.1429E+02    0.1766E+02    SHTns
  31    128    20         270    0.4511E-09    0.3507E+02    0.1360E+02    0.1970E+02    SHTns
  63    128    20          68    0.2158E-09    0.3518E+02    0.1406E+02    0.2075E+02    SHTns
 127    128    20          13    0.4027E-10    0.3608E+02    0.1363E+02    0.2235E+02    SHTns
