#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       40876    0.6451E-07    0.3500E+02    0.1409E+02    0.2045E+02    SHTns
  31      4    20       11012    0.1828E-07    0.3500E+02    0.1322E+02    0.2136E+02    SHTns
  63      4    20        2048    0.6477E-08    0.3501E+02    0.1383E+02    0.2087E+02    SHTns
 127      4    20         345    0.1058E-08    0.3501E+02    0.1305E+02    0.2185E+02    SHTns
 255      4    20          62    0.1682E-09    0.3530E+02    0.1314E+02    0.2212E+02    SHTns
 511      4    20          10    0.9620E-10    0.4754E+02    0.1863E+02    0.2889E+02    SHTns
  15      8    20       36436    0.5750E-07    0.3500E+02    0.1226E+02    0.2217E+02    SHTns
  31      8    20        6581    0.1093E-07    0.3500E+02    0.1352E+02    0.2060E+02    SHTns
  63      8    20        1281    0.4053E-08    0.3502E+02    0.1411E+02    0.2054E+02    SHTns
 127      8    20         172    0.5269E-09    0.3503E+02    0.1297E+02    0.2194E+02    SHTns
 255      8    20          30    0.8162E-10    0.3562E+02    0.1320E+02    0.2238E+02    SHTns
 511      8    20          10    0.9620E-10    0.8243E+02    0.3058E+02    0.5183E+02    SHTns
  15     16    20       18310    0.2891E-07    0.3500E+02    0.1263E+02    0.2162E+02    SHTns
  31     16    20        3157    0.5240E-08    0.3500E+02    0.1340E+02    0.2030E+02    SHTns
  63     16    20         650    0.2051E-08    0.3503E+02    0.1403E+02    0.2063E+02    SHTns
 127     16    20          79    0.2424E-09    0.3505E+02    0.1286E+02    0.2207E+02    SHTns
 255     16    20          14    0.3796E-10    0.3658E+02    0.1313E+02    0.2341E+02    SHTns
 511     16    20          10    0.9620E-10    0.1743E+03    0.6478E+02    0.1095E+03    SHTns
  15     32    20        6074    0.9591E-08    0.3500E+02    0.1425E+02    0.1826E+02    SHTns
  31     32    20        1732    0.2888E-08    0.3500E+02    0.1328E+02    0.2079E+02    SHTns
  63     32    20         328    0.1034E-08    0.3510E+02    0.1400E+02    0.2073E+02    SHTns
 127     32    20          46    0.1418E-09    0.3540E+02    0.1308E+02    0.2221E+02    SHTns
 255     32    20          10    0.2697E-10    0.5713E+02    0.2180E+02    0.3527E+02    SHTns
  15      2    20      126577    0.1998E-06    0.3500E+02    0.1417E+02    0.2017E+02    SHTns
  31      2    20       15476    0.2568E-07    0.3500E+02    0.1268E+02    0.2195E+02    SHTns
  63      2    20        3837    0.1213E-07    0.3500E+02    0.1331E+02    0.2124E+02    SHTns
 127      2    20         579    0.1770E-08    0.3503E+02    0.1275E+02    0.2212E+02    SHTns
 255      2    20          74    0.2009E-09    0.3518E+02    0.1267E+02    0.2247E+02    SHTns
 511      2    20          15    0.1440E-09    0.3646E+02    0.1446E+02    0.2198E+02    SHTns
  15     64    20        3478    0.5492E-08    0.3500E+02    0.1257E+02    0.2105E+02    SHTns
  31     64    20         872    0.1444E-08    0.3503E+02    0.1333E+02    0.2081E+02    SHTns
  63     64    20         121    0.3829E-09    0.3510E+02    0.1179E+02    0.2300E+02    SHTns
 127     64    20          22    0.6764E-10    0.3623E+02    0.1393E+02    0.2220E+02    SHTns
 255     64    20          10    0.2716E-10    0.9035E+02    0.3675E+02    0.5349E+02    SHTns
  15    128    20        1372    0.2164E-08    0.3501E+02    0.1452E+02    0.1723E+02    SHTns
  31    128    20         269    0.4494E-09    0.3512E+02    0.1360E+02    0.1978E+02    SHTns
  63    128    20          56    0.1775E-09    0.3522E+02    0.1382E+02    0.2105E+02    SHTns
 127    128    20          11    0.3405E-10    0.3541E+02    0.1323E+02    0.2205E+02    SHTns
