#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       67537    0.1066E-06    0.3500E+02    0.1236E+02    0.2208E+02    SHTns
  31      4    20       14916    0.2475E-07    0.3500E+02    0.1365E+02    0.2101E+02    SHTns
  63      4    20        2353    0.7440E-08    0.3501E+02    0.1397E+02    0.2070E+02    SHTns
 127      4    20         257    0.7885E-09    0.3504E+02    0.1303E+02    0.2192E+02    SHTns
 255      4    20          62    0.1682E-09    0.3535E+02    0.1315E+02    0.2216E+02    SHTns
 511      4    20          10    0.9620E-10    0.6158E+02    0.2171E+02    0.3986E+02    SHTns
  15      8    20       23978    0.3784E-07    0.3500E+02    0.1416E+02    0.2044E+02    SHTns
  31      8    20        6747    0.1120E-07    0.3500E+02    0.1355E+02    0.2072E+02    SHTns
  63      8    20        1263    0.3996E-08    0.3500E+02    0.1415E+02    0.2043E+02    SHTns
 127      8    20         203    0.6226E-09    0.3509E+02    0.1302E+02    0.2195E+02    SHTns
 255      8    20          26    0.7044E-10    0.3540E+02    0.1293E+02    0.2243E+02    SHTns
 511      8    20          10    0.9620E-10    0.8356E+02    0.2828E+02    0.5526E+02    SHTns
  15     16    20       13613    0.2150E-07    0.3500E+02    0.1455E+02    0.1965E+02    SHTns
  31     16    20        3417    0.5675E-08    0.3500E+02    0.1343E+02    0.2057E+02    SHTns
  63     16    20         650    0.2051E-08    0.3503E+02    0.1404E+02    0.2061E+02    SHTns
 127     16    20         102    0.3131E-09    0.3524E+02    0.1311E+02    0.2201E+02    SHTns
 255     16    20          12    0.3223E-10    0.3571E+02    0.1340E+02    0.2228E+02    SHTns
 511     16    20          10    0.9620E-10    0.1650E+03    0.6126E+02    0.1037E+03    SHTns
  15     32    20        6051    0.9555E-08    0.3500E+02    0.1345E+02    0.1959E+02    SHTns
  31     32    20        1531    0.2552E-08    0.3501E+02    0.1333E+02    0.2036E+02    SHTns
  63     32    20         302    0.9534E-09    0.3503E+02    0.1390E+02    0.2077E+02    SHTns
 127     32    20          51    0.1570E-09    0.3525E+02    0.1318E+02    0.2196E+02    SHTns
 255     32    20          10    0.2697E-10    0.6039E+02    0.2452E+02    0.3582E+02    SHTns
  15      2    20       69404    0.1096E-06    0.3500E+02    0.1387E+02    0.2056E+02    SHTns
  31      2    20       29111    0.4826E-07    0.3500E+02    0.1307E+02    0.2150E+02    SHTns
  63      2    20        3503    0.1107E-07    0.3500E+02    0.1330E+02    0.2126E+02    SHTns
 127      2    20         495    0.1515E-08    0.3500E+02    0.1265E+02    0.2222E+02    SHTns
 255      2    20          77    0.2091E-09    0.3511E+02    0.1272E+02    0.2235E+02    SHTns
 511      2    20          16    0.1535E-09    0.3674E+02    0.1297E+02    0.2375E+02    SHTns
  15     64    20        3004    0.4740E-08    0.3500E+02    0.1440E+02    0.1768E+02    SHTns
  31     64    20         822    0.1362E-08    0.3501E+02    0.1331E+02    0.2053E+02    SHTns
  63     64    20         160    0.5053E-09    0.3501E+02    0.1413E+02    0.2047E+02    SHTns
 127     64    20          23    0.7071E-10    0.3551E+02    0.1322E+02    0.2219E+02    SHTns
 255     64    20          10    0.2716E-10    0.9053E+02    0.3182E+02    0.5863E+02    SHTns
  15    128    20        1403    0.2213E-08    0.3502E+02    0.1457E+02    0.1718E+02    SHTns
  31    128    20         436    0.7251E-09    0.3505E+02    0.1335E+02    0.2083E+02    SHTns
  63    128    20          59    0.1870E-09    0.3512E+02    0.1385E+02    0.2098E+02    SHTns
 127    128    20          11    0.3405E-10    0.3764E+02    0.1441E+02    0.2313E+02    SHTns
