#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       75378    0.1190E-06    0.3500E+02    0.1226E+02    0.2214E+02    SHTns
  31      4    20       11686    0.1940E-07    0.3500E+02    0.1329E+02    0.2133E+02    SHTns
  63      4    20        2434    0.7697E-08    0.3500E+02    0.1403E+02    0.2062E+02    SHTns
 127      4    20         255    0.7825E-09    0.3503E+02    0.1258E+02    0.2236E+02    SHTns
 255      4    20          60    0.1630E-09    0.3531E+02    0.1280E+02    0.2247E+02    SHTns
 511      4    20          10    0.9620E-10    0.4897E+02    0.1883E+02    0.3013E+02    SHTns
  15      8    20       34856    0.5501E-07    0.3500E+02    0.1430E+02    0.2017E+02    SHTns
  31      8    20        5898    0.9797E-08    0.3500E+02    0.1350E+02    0.2064E+02    SHTns
  63      8    20        1038    0.3282E-08    0.3502E+02    0.1390E+02    0.2076E+02    SHTns
 127      8    20         184    0.5635E-09    0.3514E+02    0.1319E+02    0.2179E+02    SHTns
 255      8    20          31    0.8443E-10    0.3600E+02    0.1323E+02    0.2273E+02    SHTns
 511      8    20          10    0.9620E-10    0.8028E+02    0.2836E+02    0.5189E+02    SHTns
  15     16    20       16462    0.2599E-07    0.3500E+02    0.1456E+02    0.1972E+02    SHTns
  31     16    20        3409    0.5661E-08    0.3501E+02    0.1342E+02    0.2059E+02    SHTns
  63     16    20         649    0.2048E-08    0.3503E+02    0.1403E+02    0.2062E+02    SHTns
 127     16    20          99    0.3042E-09    0.3508E+02    0.1301E+02    0.2194E+02    SHTns
 255     16    20          16    0.4358E-10    0.3715E+02    0.1368E+02    0.2343E+02    SHTns
 511     16    20          10    0.9620E-10    0.1788E+03    0.6608E+02    0.1127E+03    SHTns
  15     32    20        6126    0.9674E-08    0.3500E+02    0.1417E+02    0.1845E+02    SHTns
  31     32    20        1324    0.2207E-08    0.3502E+02    0.1328E+02    0.2062E+02    SHTns
  63     32    20         328    0.1034E-08    0.3507E+02    0.1401E+02    0.2071E+02    SHTns
 127     32    20          50    0.1540E-09    0.3567E+02    0.1349E+02    0.2202E+02    SHTns
 255     32    20          10    0.2697E-10    0.5691E+02    0.2072E+02    0.3614E+02    SHTns
  15      2    20       91723    0.1448E-06    0.3500E+02    0.1410E+02    0.2033E+02    SHTns
  31      2    20       27142    0.4499E-07    0.3500E+02    0.1308E+02    0.2152E+02    SHTns
  63      2    20        4098    0.1296E-07    0.3500E+02    0.1345E+02    0.2107E+02    SHTns
 127      2    20         597    0.1825E-08    0.3504E+02    0.1277E+02    0.2211E+02    SHTns
 255      2    20          91    0.2471E-09    0.3507E+02    0.1341E+02    0.2161E+02    SHTns
 511      2    20          18    0.1726E-09    0.3517E+02    0.1367E+02    0.2149E+02    SHTns
  15     64    20        3154    0.4978E-08    0.3500E+02    0.1338E+02    0.1863E+02    SHTns
  31     64    20         825    0.1367E-08    0.3504E+02    0.1364E+02    0.2020E+02    SHTns
  63     64    20         164    0.5180E-09    0.3501E+02    0.1397E+02    0.2071E+02    SHTns
 127     64    20          26    0.8008E-10    0.3660E+02    0.1348E+02    0.2302E+02    SHTns
 255     64    20          10    0.2716E-10    0.1117E+03    0.4422E+02    0.6743E+02    SHTns
  15    128    20         886    0.1401E-08    0.3500E+02    0.1435E+02    0.1792E+02    SHTns
  31    128    20         447    0.7428E-09    0.3505E+02    0.1367E+02    0.2049E+02    SHTns
  63    128    20          82    0.2599E-09    0.3503E+02    0.1414E+02    0.2059E+02    SHTns
 127    128    20          13    0.4027E-10    0.3624E+02    0.1323E+02    0.2290E+02    SHTns
