#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       36865    0.5817E-07    0.3500E+02    0.1410E+02    0.2052E+02    SHTns
  31      4    20       11899    0.1976E-07    0.3500E+02    0.1334E+02    0.2126E+02    SHTns
  63      4    20        2558    0.8089E-08    0.3501E+02    0.1356E+02    0.2114E+02    SHTns
 127      4    20         345    0.1058E-08    0.3503E+02    0.1316E+02    0.2176E+02    SHTns
 255      4    20          38    0.1038E-09    0.3532E+02    0.1269E+02    0.2260E+02    SHTns
 511      4    20          10    0.9620E-10    0.4147E+02    0.1529E+02    0.2617E+02    SHTns
  15      8    20       32498    0.5129E-07    0.3500E+02    0.1426E+02    0.2023E+02    SHTns
  31      8    20        5488    0.9116E-08    0.3500E+02    0.1349E+02    0.2073E+02    SHTns
  63      8    20        1031    0.3259E-08    0.3502E+02    0.1387E+02    0.2078E+02    SHTns
 127      8    20         203    0.6226E-09    0.3515E+02    0.1305E+02    0.2196E+02    SHTns
 255      8    20          24    0.6521E-10    0.3550E+02    0.1363E+02    0.2184E+02    SHTns
 511      8    20          10    0.9620E-10    0.7832E+02    0.3061E+02    0.4768E+02    SHTns
  15     16    20       16181    0.2555E-07    0.3500E+02    0.1456E+02    0.1984E+02    SHTns
  31     16    20        3500    0.5815E-08    0.3500E+02    0.1376E+02    0.2027E+02    SHTns
  63     16    20         573    0.1807E-08    0.3503E+02    0.1385E+02    0.2083E+02    SHTns
 127     16    20         104    0.3192E-09    0.3506E+02    0.1241E+02    0.2251E+02    SHTns
 255     16    20          14    0.3796E-10    0.3579E+02    0.1363E+02    0.2211E+02    SHTns
 511     16    20          10    0.9620E-10    0.1687E+03    0.6498E+02    0.1037E+03    SHTns
  15     32    20        7798    0.1231E-07    0.3500E+02    0.1140E+02    0.2239E+02    SHTns
  31     32    20        1653    0.2756E-08    0.3501E+02    0.1366E+02    0.2005E+02    SHTns
  63     32    20         259    0.8188E-09    0.3505E+02    0.1372E+02    0.2102E+02    SHTns
 127     32    20          51    0.1570E-09    0.3520E+02    0.1314E+02    0.2195E+02    SHTns
 255     32    20          10    0.2697E-10    0.6138E+02    0.2118E+02    0.4016E+02    SHTns
  15      2    20      151699    0.2395E-06    0.3500E+02    0.1211E+02    0.2215E+02    SHTns
  31      2    20       16701    0.2770E-07    0.3500E+02    0.1280E+02    0.2189E+02    SHTns
  63      2    20        4234    0.1339E-07    0.3501E+02    0.1353E+02    0.2100E+02    SHTns
 127      2    20         506    0.1548E-08    0.3504E+02    0.1266E+02    0.2224E+02    SHTns
 255      2    20          73    0.1980E-09    0.3513E+02    0.1317E+02    0.2192E+02    SHTns
 511      2    20          10    0.9620E-10    0.3501E+02    0.1270E+02    0.2230E+02    SHTns
  15     64    20        3036    0.4791E-08    0.3501E+02    0.1447E+02    0.1763E+02    SHTns
  31     64    20         511    0.8470E-09    0.3502E+02    0.1329E+02    0.2092E+02    SHTns
  63     64    20         164    0.5180E-09    0.3505E+02    0.1397E+02    0.2075E+02    SHTns
 127     64    20          26    0.8008E-10    0.3595E+02    0.1352E+02    0.2233E+02    SHTns
 255     64    20          10    0.2716E-10    0.9163E+02    0.3735E+02    0.5417E+02    SHTns
  15    128    20        1458    0.2301E-08    0.3500E+02    0.1459E+02    0.1715E+02    SHTns
  31    128    20         259    0.4330E-09    0.3505E+02    0.1374E+02    0.1951E+02    SHTns
  63    128    20          58    0.1839E-09    0.3526E+02    0.1388E+02    0.2104E+02    SHTns
 127    128    20          11    0.3405E-10    0.3788E+02    0.1454E+02    0.2322E+02    SHTns
