#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       75882    0.1198E-06    0.3500E+02    0.1226E+02    0.2213E+02    SHTns
  31      4    20       13937    0.2313E-07    0.3500E+02    0.1342E+02    0.2117E+02    SHTns
  63      4    20        2367    0.7485E-08    0.3500E+02    0.1398E+02    0.2068E+02    SHTns
 127      4    20         342    0.1049E-08    0.3502E+02    0.1309E+02    0.2180E+02    SHTns
 255      4    20          55    0.1502E-09    0.3531E+02    0.1331E+02    0.2197E+02    SHTns
 511      4    20          10    0.9620E-10    0.5238E+02    0.2125E+02    0.3111E+02    SHTns
  15      8    20       31774    0.5015E-07    0.3500E+02    0.1426E+02    0.2023E+02    SHTns
  31      8    20        6870    0.1140E-07    0.3500E+02    0.1388E+02    0.2038E+02    SHTns
  63      8    20        1252    0.3960E-08    0.3502E+02    0.1414E+02    0.2045E+02    SHTns
 127      8    20         172    0.5269E-09    0.3504E+02    0.1278E+02    0.2214E+02    SHTns
 255      8    20          29    0.7892E-10    0.3607E+02    0.1380E+02    0.2223E+02    SHTns
 511      8    20          10    0.9620E-10    0.8269E+02    0.3061E+02    0.5206E+02    SHTns
  15     16    20       17483    0.2760E-07    0.3500E+02    0.1261E+02    0.2165E+02    SHTns
  31     16    20        3375    0.5605E-08    0.3501E+02    0.1380E+02    0.1997E+02    SHTns
  63     16    20         650    0.2051E-08    0.3504E+02    0.1404E+02    0.2062E+02    SHTns
 127     16    20          97    0.2980E-09    0.3524E+02    0.1308E+02    0.2203E+02    SHTns
 255     16    20          15    0.4078E-10    0.3624E+02    0.1461E+02    0.2159E+02    SHTns
 511     16    20          10    0.9620E-10    0.1640E+03    0.6120E+02    0.1028E+03    SHTns
  15     32    20        6362    0.1005E-07    0.3500E+02    0.1291E+02    0.1992E+02    SHTns
  31     32    20        1566    0.2612E-08    0.3500E+02    0.1330E+02    0.2038E+02    SHTns
  63     32    20         233    0.7369E-09    0.3510E+02    0.1365E+02    0.2116E+02    SHTns
 127     32    20          46    0.1418E-09    0.3559E+02    0.1326E+02    0.2221E+02    SHTns
 255     32    20          10    0.2697E-10    0.4660E+02    0.1731E+02    0.2924E+02    SHTns
  15      2    20       84701    0.1337E-06    0.3500E+02    0.1306E+02    0.2142E+02    SHTns
  31      2    20       20216    0.3353E-07    0.3500E+02    0.1304E+02    0.2159E+02    SHTns
  63      2    20        4330    0.1369E-07    0.3500E+02    0.1350E+02    0.2100E+02    SHTns
 127      2    20         561    0.1716E-08    0.3504E+02    0.1270E+02    0.2220E+02    SHTns
 255      2    20          68    0.1845E-09    0.3522E+02    0.1266E+02    0.2252E+02    SHTns
 511      2    20          16    0.1535E-09    0.3684E+02    0.1379E+02    0.2302E+02    SHTns
  15     64    20        3060    0.4829E-08    0.3501E+02    0.1343E+02    0.1847E+02    SHTns
  31     64    20         839    0.1390E-08    0.3503E+02    0.1333E+02    0.2084E+02    SHTns
  63     64    20         164    0.5180E-09    0.3501E+02    0.1396E+02    0.2072E+02    SHTns
 127     64    20          24    0.7371E-10    0.3607E+02    0.1372E+02    0.2223E+02    SHTns
 255     64    20          10    0.2716E-10    0.9332E+02    0.3461E+02    0.5862E+02    SHTns
  15    128    20         852    0.1348E-08    0.3500E+02    0.1384E+02    0.1809E+02    SHTns
  31    128    20         437    0.7267E-09    0.3502E+02    0.1331E+02    0.2082E+02    SHTns
  63    128    20          58    0.1839E-09    0.3529E+02    0.1383E+02    0.2114E+02    SHTns
 127    128    20          10    0.3099E-10    0.4272E+02    0.1688E+02    0.2574E+02    SHTns
