#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       76050    0.1200E-06    0.3500E+02    0.1226E+02    0.2215E+02    SHTns
  31      4    20       13320    0.2210E-07    0.3500E+02    0.1346E+02    0.2114E+02    SHTns
  63      4    20        1970    0.6231E-08    0.3501E+02    0.1378E+02    0.2092E+02    SHTns
 127      4    20         302    0.9258E-09    0.3507E+02    0.1317E+02    0.2178E+02    SHTns
 255      4    20          35    0.9546E-10    0.3541E+02    0.1350E+02    0.2188E+02    SHTns
 511      4    20          10    0.9620E-10    0.4099E+02    0.1656E+02    0.2442E+02    SHTns
  15      8    20       17632    0.2784E-07    0.3500E+02    0.1399E+02    0.2054E+02    SHTns
  31      8    20        6694    0.1111E-07    0.3500E+02    0.1354E+02    0.2070E+02    SHTns
  63      8    20        1168    0.3695E-08    0.3502E+02    0.1404E+02    0.2058E+02    SHTns
 127      8    20         179    0.5483E-09    0.3518E+02    0.1296E+02    0.2209E+02    SHTns
 255      8    20          26    0.7044E-10    0.3522E+02    0.1283E+02    0.2235E+02    SHTns
 511      8    20          10    0.9620E-10    0.8349E+02    0.3316E+02    0.5030E+02    SHTns
  15     16    20       18711    0.2954E-07    0.3500E+02    0.1253E+02    0.2180E+02    SHTns
  31     16    20        3232    0.5366E-08    0.3501E+02    0.1342E+02    0.2031E+02    SHTns
  63     16    20         621    0.1960E-08    0.3505E+02    0.1397E+02    0.2067E+02    SHTns
 127     16    20          94    0.2890E-09    0.3524E+02    0.1307E+02    0.2205E+02    SHTns
 255     16    20          14    0.3796E-10    0.3534E+02    0.1417E+02    0.2113E+02    SHTns
 511     16    20          10    0.9620E-10    0.1717E+03    0.6145E+02    0.1102E+03    SHTns
  15     32    20        8491    0.1340E-07    0.3500E+02    0.1246E+02    0.2130E+02    SHTns
  31     32    20        1597    0.2663E-08    0.3501E+02    0.1336E+02    0.2013E+02    SHTns
  63     32    20         242    0.7655E-09    0.3504E+02    0.1354E+02    0.2121E+02    SHTns
 127     32    20          44    0.1354E-09    0.3541E+02    0.1359E+02    0.2172E+02    SHTns
 255     32    20          10    0.2697E-10    0.6048E+02    0.2127E+02    0.3916E+02    SHTns
  15      2    20      125642    0.1983E-06    0.3500E+02    0.1416E+02    0.2017E+02    SHTns
  31      2    20       27163    0.4502E-07    0.3500E+02    0.1305E+02    0.2155E+02    SHTns
  63      2    20        5134    0.1623E-07    0.3500E+02    0.1361E+02    0.2109E+02    SHTns
 127      2    20         804    0.2459E-08    0.3504E+02    0.1299E+02    0.2189E+02    SHTns
 255      2    20         102    0.2775E-09    0.3521E+02    0.1284E+02    0.2230E+02    SHTns
 511      2    20          12    0.1154E-09    0.3634E+02    0.1301E+02    0.2331E+02    SHTns
  15     64    20        3072    0.4848E-08    0.3500E+02    0.1445E+02    0.1761E+02    SHTns
  31     64    20         870    0.1441E-08    0.3501E+02    0.1332E+02    0.2082E+02    SHTns
  63     64    20         156    0.4927E-09    0.3504E+02    0.1423E+02    0.2032E+02    SHTns
 127     64    20          26    0.8008E-10    0.3591E+02    0.1347E+02    0.2235E+02    SHTns
 255     64    20          10    0.2716E-10    0.8828E+02    0.3509E+02    0.5310E+02    SHTns
  15    128    20         856    0.1354E-08    0.3502E+02    0.1433E+02    0.1818E+02    SHTns
  31    128    20         266    0.4443E-09    0.3507E+02    0.1383E+02    0.1945E+02    SHTns
  63    128    20          82    0.2599E-09    0.3506E+02    0.1402E+02    0.2073E+02    SHTns
 127    128    20          13    0.4027E-10    0.3726E+02    0.1506E+02    0.2209E+02    SHTns
