#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       50271    0.7935E-07    0.3500E+02    0.1260E+02    0.2194E+02    SHTns
  31      4    20       13909    0.2308E-07    0.3500E+02    0.1350E+02    0.2111E+02    SHTns
  63      4    20        2523    0.7977E-08    0.3501E+02    0.1402E+02    0.2066E+02    SHTns
 127      4    20         328    0.1006E-08    0.3502E+02    0.1295E+02    0.2195E+02    SHTns
 255      4    20          61    0.1655E-09    0.3543E+02    0.1293E+02    0.2246E+02    SHTns
 511      4    20          10    0.9620E-10    0.5157E+02    0.2107E+02    0.3049E+02    SHTns
  15      8    20       38201    0.6028E-07    0.3500E+02    0.1219E+02    0.2222E+02    SHTns
  31      8    20        5373    0.8924E-08    0.3500E+02    0.1379E+02    0.2046E+02    SHTns
  63      8    20         770    0.2432E-08    0.3501E+02    0.1168E+02    0.2305E+02    SHTns
 127      8    20         203    0.6226E-09    0.3512E+02    0.1305E+02    0.2194E+02    SHTns
 255      8    20          24    0.6521E-10    0.3599E+02    0.1332E+02    0.2264E+02    SHTns
 511      8    20          10    0.9620E-10    0.9159E+02    0.2909E+02    0.6247E+02    SHTns
  15     16    20       18720    0.2955E-07    0.3500E+02    0.1248E+02    0.2180E+02    SHTns
  31     16    20        3364    0.5587E-08    0.3500E+02    0.1338E+02    0.2060E+02    SHTns
  63     16    20         470    0.1483E-08    0.3505E+02    0.1364E+02    0.2109E+02    SHTns
 127     16    20          91    0.2798E-09    0.3526E+02    0.1318E+02    0.2195E+02    SHTns
 255     16    20          13    0.3509E-10    0.3561E+02    0.1342E+02    0.2215E+02    SHTns
 511     16    20          10    0.9620E-10    0.1641E+03    0.6039E+02    0.1037E+03    SHTns
  15     32    20        5711    0.9017E-08    0.3500E+02    0.1420E+02    0.1873E+02    SHTns
  31     32    20        1485    0.2476E-08    0.3500E+02    0.1330E+02    0.2042E+02    SHTns
  63     32    20         262    0.8280E-09    0.3502E+02    0.1190E+02    0.2279E+02    SHTns
 127     32    20          51    0.1570E-09    0.3524E+02    0.1317E+02    0.2196E+02    SHTns
 255     32    20          10    0.2697E-10    0.5778E+02    0.1968E+02    0.3806E+02    SHTns
  15      2    20       98338    0.1552E-06    0.3500E+02    0.1403E+02    0.2037E+02    SHTns
  31      2    20       21497    0.3565E-07    0.3500E+02    0.1286E+02    0.2176E+02    SHTns
  63      2    20        3796    0.1200E-07    0.3500E+02    0.1335E+02    0.2117E+02    SHTns
 127      2    20         671    0.2053E-08    0.3501E+02    0.1293E+02    0.2190E+02    SHTns
 255      2    20          66    0.1790E-09    0.3534E+02    0.1274E+02    0.2256E+02    SHTns
 511      2    20          14    0.1344E-09    0.3621E+02    0.1388E+02    0.2232E+02    SHTns
  15     64    20        3140    0.4956E-08    0.3501E+02    0.1334E+02    0.1864E+02    SHTns
  31     64    20         866    0.1434E-08    0.3503E+02    0.1329E+02    0.2087E+02    SHTns
  63     64    20         157    0.4958E-09    0.3522E+02    0.1423E+02    0.2046E+02    SHTns
 127     64    20          17    0.5275E-10    0.3512E+02    0.1303E+02    0.2202E+02    SHTns
 255     64    20          10    0.2716E-10    0.8823E+02    0.3475E+02    0.5339E+02    SHTns
  15    128    20        2175    0.3433E-08    0.3502E+02    0.1237E+02    0.2100E+02    SHTns
  31    128    20         213    0.3561E-09    0.3504E+02    0.1358E+02    0.2007E+02    SHTns
  63    128    20          56    0.1775E-09    0.3539E+02    0.1390E+02    0.2117E+02    SHTns
 127    128    20          11    0.3405E-10    0.3578E+02    0.1435E+02    0.2132E+02    SHTns
