#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       70429    0.1112E-06    0.3500E+02    0.1232E+02    0.2209E+02    SHTns
  31      4    20       14593    0.2421E-07    0.3500E+02    0.1327E+02    0.2140E+02    SHTns
  63      4    20        1955    0.6184E-08    0.3500E+02    0.1376E+02    0.2094E+02    SHTns
 127      4    20         368    0.1128E-08    0.3501E+02    0.1285E+02    0.2206E+02    SHTns
 255      4    20          65    0.1763E-09    0.3551E+02    0.1377E+02    0.2170E+02    SHTns
 511      4    20          10    0.9620E-10    0.5185E+02    0.1896E+02    0.3287E+02    SHTns
  15      8    20       29176    0.4605E-07    0.3500E+02    0.1425E+02    0.2028E+02    SHTns
  31      8    20        6723    0.1116E-07    0.3500E+02    0.1355E+02    0.2071E+02    SHTns
  63      8    20        1272    0.4025E-08    0.3501E+02    0.1408E+02    0.2055E+02    SHTns
 127      8    20         173    0.5300E-09    0.3503E+02    0.1347E+02    0.2145E+02    SHTns
 255      8    20          30    0.8162E-10    0.3573E+02    0.1311E+02    0.2258E+02    SHTns
 511      8    20          10    0.9620E-10    0.8244E+02    0.3060E+02    0.5182E+02    SHTns
  15     16    20       18673    0.2948E-07    0.3500E+02    0.1252E+02    0.2180E+02    SHTns
  31     16    20        3259    0.5411E-08    0.3501E+02    0.1342E+02    0.2029E+02    SHTns
  63     16    20         561    0.1769E-08    0.3505E+02    0.1333E+02    0.2135E+02    SHTns
 127     16    20          80    0.2456E-09    0.3524E+02    0.1286E+02    0.2227E+02    SHTns
 255     16    20          12    0.3223E-10    0.3597E+02    0.1329E+02    0.2264E+02    SHTns
 511     16    20          10    0.9620E-10    0.1649E+03    0.6119E+02    0.1036E+03    SHTns
  15     32    20        6169    0.9741E-08    0.3500E+02    0.1442E+02    0.1820E+02    SHTns
  31     32    20        1624    0.2708E-08    0.3501E+02    0.1338E+02    0.2033E+02    SHTns
  63     32    20         328    0.1034E-08    0.3502E+02    0.1396E+02    0.2071E+02    SHTns
 127     32    20          51    0.1570E-09    0.3522E+02    0.1308E+02    0.2203E+02    SHTns
 255     32    20          10    0.2697E-10    0.5934E+02    0.2180E+02    0.3749E+02    SHTns
  15      2    20       69720    0.1101E-06    0.3500E+02    0.1390E+02    0.2055E+02    SHTns
  31      2    20       18255    0.3028E-07    0.3500E+02    0.1328E+02    0.2138E+02    SHTns
  63      2    20        4156    0.1314E-07    0.3501E+02    0.1348E+02    0.2103E+02    SHTns
 127      2    20         532    0.1627E-08    0.3500E+02    0.1269E+02    0.2217E+02    SHTns
 255      2    20         121    0.3288E-09    0.3518E+02    0.1280E+02    0.2233E+02    SHTns
 511      2    20          14    0.1344E-09    0.3709E+02    0.1395E+02    0.2312E+02    SHTns
  15     64    20        3667    0.5789E-08    0.3501E+02    0.1133E+02    0.2224E+02    SHTns
  31     64    20         535    0.8870E-09    0.3501E+02    0.1315E+02    0.2105E+02    SHTns
  63     64    20         162    0.5116E-09    0.3517E+02    0.1400E+02    0.2084E+02    SHTns
 127     64    20          16    0.4954E-10    0.3527E+02    0.1349E+02    0.2170E+02    SHTns
 255     64    20          10    0.2716E-10    0.9379E+02    0.3498E+02    0.5872E+02    SHTns
  15    128    20        1339    0.2111E-08    0.3501E+02    0.1483E+02    0.1676E+02    SHTns
  31    128    20         342    0.5715E-09    0.3501E+02    0.1371E+02    0.1906E+02    SHTns
  63    128    20          67    0.2126E-09    0.3518E+02    0.1403E+02    0.2077E+02    SHTns
 127    128    20          13    0.4027E-10    0.3641E+02    0.1461E+02    0.2168E+02    SHTns
