#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       58218    0.9189E-07    0.3500E+02    0.1423E+02    0.2028E+02    SHTns
  31      4    20       13986    0.2321E-07    0.3500E+02    0.1342E+02    0.2117E+02    SHTns
  63      4    20        2533    0.8009E-08    0.3500E+02    0.1404E+02    0.2065E+02    SHTns
 127      4    20         297    0.9109E-09    0.3507E+02    0.1289E+02    0.2206E+02    SHTns
 255      4    20          60    0.1630E-09    0.3508E+02    0.1239E+02    0.2265E+02    SHTns
 511      4    20          10    0.9620E-10    0.4587E+02    0.1819E+02    0.2767E+02    SHTns
  15      8    20       38238    0.6034E-07    0.3500E+02    0.1219E+02    0.2222E+02    SHTns
  31      8    20        5626    0.9346E-08    0.3500E+02    0.1347E+02    0.2074E+02    SHTns
  63      8    20        1277    0.4041E-08    0.3500E+02    0.1409E+02    0.2054E+02    SHTns
 127      8    20         180    0.5513E-09    0.3503E+02    0.1289E+02    0.2202E+02    SHTns
 255      8    20          25    0.6778E-10    0.3573E+02    0.1285E+02    0.2285E+02    SHTns
 511      8    20          10    0.9620E-10    0.9438E+02    0.3676E+02    0.5760E+02    SHTns
  15     16    20       18614    0.2938E-07    0.3500E+02    0.1254E+02    0.2172E+02    SHTns
  31     16    20        3265    0.5420E-08    0.3501E+02    0.1340E+02    0.2030E+02    SHTns
  63     16    20         509    0.1605E-08    0.3501E+02    0.1365E+02    0.2103E+02    SHTns
 127     16    20          87    0.2674E-09    0.3516E+02    0.1294E+02    0.2212E+02    SHTns
 255     16    20          14    0.3796E-10    0.3546E+02    0.1282E+02    0.2260E+02    SHTns
 511     16    20          10    0.9620E-10    0.1786E+03    0.6405E+02    0.1145E+03    SHTns
  15     32    20        6968    0.1100E-07    0.3500E+02    0.1296E+02    0.1980E+02    SHTns
  31     32    20        1763    0.2939E-08    0.3501E+02    0.1357E+02    0.2051E+02    SHTns
  63     32    20         337    0.1062E-08    0.3505E+02    0.1341E+02    0.2128E+02    SHTns
 127     32    20          49    0.1510E-09    0.3520E+02    0.1310E+02    0.2198E+02    SHTns
 255     32    20          10    0.2697E-10    0.5417E+02    0.2090E+02    0.3323E+02    SHTns
  15      2    20       69852    0.1103E-06    0.3500E+02    0.1393E+02    0.2056E+02    SHTns
  31      2    20       15849    0.2631E-07    0.3500E+02    0.1292E+02    0.2175E+02    SHTns
  63      2    20        3820    0.1207E-07    0.3500E+02    0.1337E+02    0.2116E+02    SHTns
 127      2    20         726    0.2222E-08    0.3503E+02    0.1314E+02    0.2168E+02    SHTns
 255      2    20         110    0.2992E-09    0.3511E+02    0.1289E+02    0.2214E+02    SHTns
 511      2    20          11    0.1058E-09    0.3795E+02    0.1470E+02    0.2324E+02    SHTns
  15     64    20        4160    0.6568E-08    0.3500E+02    0.1246E+02    0.2091E+02    SHTns
  31     64    20         498    0.8255E-09    0.3501E+02    0.1311E+02    0.2114E+02    SHTns
  63     64    20         170    0.5368E-09    0.3503E+02    0.1324E+02    0.2146E+02    SHTns
 127     64    20          20    0.6168E-10    0.3616E+02    0.1352E+02    0.2255E+02    SHTns
 255     64    20          10    0.2716E-10    0.1002E+03    0.3758E+02    0.6250E+02    SHTns
  15    128    20        1256    0.1981E-08    0.3501E+02    0.1370E+02    0.1819E+02    SHTns
  31    128    20         305    0.5093E-09    0.3504E+02    0.1399E+02    0.1904E+02    SHTns
  63    128    20          61    0.1934E-09    0.3508E+02    0.1197E+02    0.2278E+02    SHTns
 127    128    20          10    0.3099E-10    0.3509E+02    0.1372E+02    0.2129E+02    SHTns
