#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       35197    0.5555E-07    0.3500E+02    0.1404E+02    0.2052E+02    SHTns
  31      4    20        7693    0.1278E-07    0.3500E+02    0.1307E+02    0.2152E+02    SHTns
  63      4    20        1821    0.5760E-08    0.3500E+02    0.1368E+02    0.2104E+02    SHTns
 127      4    20         330    0.1012E-08    0.3507E+02    0.1327E+02    0.2168E+02    SHTns
 255      4    20          46    0.1256E-09    0.3546E+02    0.1293E+02    0.2250E+02    SHTns
 511      4    20          10    0.9620E-10    0.4640E+02    0.1869E+02    0.2769E+02    SHTns
  15      8    20       34793    0.5491E-07    0.3500E+02    0.1432E+02    0.2015E+02    SHTns
  31      8    20        6465    0.1074E-07    0.3500E+02    0.1355E+02    0.2055E+02    SHTns
  63      8    20        1323    0.4188E-08    0.3501E+02    0.1338E+02    0.2124E+02    SHTns
 127      8    20         157    0.4813E-09    0.3522E+02    0.1283E+02    0.2228E+02    SHTns
 255      8    20          31    0.8443E-10    0.3594E+02    0.1319E+02    0.2271E+02    SHTns
 511      8    20          10    0.9620E-10    0.9090E+02    0.3191E+02    0.5896E+02    SHTns
  15     16    20       18611    0.2938E-07    0.3500E+02    0.1245E+02    0.2179E+02    SHTns
  31     16    20        3375    0.5605E-08    0.3500E+02    0.1377E+02    0.1997E+02    SHTns
  63     16    20         583    0.1839E-08    0.3500E+02    0.1387E+02    0.2075E+02    SHTns
 127     16    20         102    0.3131E-09    0.3527E+02    0.1312E+02    0.2203E+02    SHTns
 255     16    20          14    0.3796E-10    0.3661E+02    0.1345E+02    0.2312E+02    SHTns
 511     16    20          10    0.9620E-10    0.1649E+03    0.6123E+02    0.1036E+03    SHTns
  15     32    20        5673    0.8957E-08    0.3500E+02    0.1433E+02    0.1878E+02    SHTns
  31     32    20        1320    0.2200E-08    0.3502E+02    0.1325E+02    0.2064E+02    SHTns
  63     32    20         273    0.8629E-09    0.3506E+02    0.1376E+02    0.2097E+02    SHTns
 127     32    20          52    0.1599E-09    0.3513E+02    0.1356E+02    0.2145E+02    SHTns
 255     32    20          10    0.2697E-10    0.5839E+02    0.2341E+02    0.3493E+02    SHTns
  15      2    20       69407    0.1096E-06    0.3500E+02    0.1387E+02    0.2055E+02    SHTns
  31      2    20       15745    0.2613E-07    0.3500E+02    0.1285E+02    0.2182E+02    SHTns
  63      2    20        3515    0.1111E-07    0.3500E+02    0.1168E+02    0.2284E+02    SHTns
 127      2    20         803    0.2456E-08    0.3500E+02    0.1299E+02    0.2184E+02    SHTns
 255      2    20          82    0.2228E-09    0.3527E+02    0.1280E+02    0.2242E+02    SHTns
 511      2    20          13    0.1249E-09    0.3502E+02    0.1275E+02    0.2225E+02    SHTns
  15     64    20        3255    0.5138E-08    0.3500E+02    0.1341E+02    0.1855E+02    SHTns
  31     64    20         871    0.1442E-08    0.3502E+02    0.1334E+02    0.2079E+02    SHTns
  63     64    20          92    0.2918E-09    0.3516E+02    0.1341E+02    0.2149E+02    SHTns
 127     64    20          24    0.7371E-10    0.3529E+02    0.1335E+02    0.2181E+02    SHTns
 255     64    20          10    0.2716E-10    0.9344E+02    0.3474E+02    0.5862E+02    SHTns
  15    128    20        1430    0.2256E-08    0.3502E+02    0.1395E+02    0.1753E+02    SHTns
  31    128    20         256    0.4280E-09    0.3503E+02    0.1338E+02    0.1987E+02    SHTns
  63    128    20          71    0.2252E-09    0.3570E+02    0.1428E+02    0.2104E+02    SHTns
 127    128    20          10    0.3099E-10    0.3704E+02    0.1453E+02    0.2242E+02    SHTns
