#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       35491    0.5601E-07    0.3500E+02    0.1411E+02    0.2053E+02    SHTns
  31      4    20       14490    0.2404E-07    0.3500E+02    0.1265E+02    0.2196E+02    SHTns
  63      4    20        2234    0.7065E-08    0.3500E+02    0.1413E+02    0.2049E+02    SHTns
 127      4    20         344    0.1055E-08    0.3505E+02    0.1310E+02    0.2184E+02    SHTns
 255      4    20          60    0.1630E-09    0.3507E+02    0.1316E+02    0.2187E+02    SHTns
 511      4    20          10    0.9620E-10    0.4143E+02    0.1552E+02    0.2590E+02    SHTns
  15      8    20       17632    0.2784E-07    0.3500E+02    0.1399E+02    0.2052E+02    SHTns
  31      8    20        4545    0.7548E-08    0.3500E+02    0.1336E+02    0.2088E+02    SHTns
  63      8    20        1278    0.4044E-08    0.3502E+02    0.1408E+02    0.2055E+02    SHTns
 127      8    20         135    0.4136E-09    0.3504E+02    0.1275E+02    0.2220E+02    SHTns
 255      8    20          24    0.6521E-10    0.3544E+02    0.1248E+02    0.2293E+02    SHTns
 511      8    20          10    0.9620E-10    0.1030E+03    0.3925E+02    0.6371E+02    SHTns
  15     16    20       18335    0.2895E-07    0.3500E+02    0.1257E+02    0.2165E+02    SHTns
  31     16    20        3502    0.5819E-08    0.3500E+02    0.1377E+02    0.2025E+02    SHTns
  63     16    20         536    0.1690E-08    0.3501E+02    0.1375E+02    0.2090E+02    SHTns
 127     16    20          96    0.2952E-09    0.3503E+02    0.1235E+02    0.2256E+02    SHTns
 255     16    20          14    0.3796E-10    0.3513E+02    0.1179E+02    0.2331E+02    SHTns
 511     16    20          10    0.9620E-10    0.1649E+03    0.6118E+02    0.1036E+03    SHTns
  15     32    20        5947    0.9391E-08    0.3500E+02    0.1303E+02    0.1994E+02    SHTns
  31     32    20        1731    0.2886E-08    0.3502E+02    0.1329E+02    0.2084E+02    SHTns
  63     32    20         235    0.7431E-09    0.3505E+02    0.1174E+02    0.2303E+02    SHTns
 127     32    20          52    0.1599E-09    0.3525E+02    0.1337E+02    0.2176E+02    SHTns
 255     32    20          10    0.2697E-10    0.6053E+02    0.2154E+02    0.3894E+02    SHTns
  15      2    20       76066    0.1201E-06    0.3500E+02    0.1395E+02    0.2051E+02    SHTns
  31      2    20       30035    0.4979E-07    0.3500E+02    0.1310E+02    0.2147E+02    SHTns
  63      2    20        3223    0.1019E-07    0.3500E+02    0.1321E+02    0.2135E+02    SHTns
 127      2    20         559    0.1709E-08    0.3503E+02    0.1270E+02    0.2218E+02    SHTns
 255      2    20          85    0.2310E-09    0.3501E+02    0.1275E+02    0.2221E+02    SHTns
 511      2    20          14    0.1344E-09    0.3590E+02    0.1360E+02    0.2228E+02    SHTns
  15     64    20        3179    0.5018E-08    0.3500E+02    0.1341E+02    0.1858E+02    SHTns
  31     64    20         728    0.1208E-08    0.3501E+02    0.1331E+02    0.2051E+02    SHTns
  63     64    20         146    0.4612E-09    0.3515E+02    0.1406E+02    0.2073E+02    SHTns
 127     64    20          17    0.5275E-10    0.3588E+02    0.1296E+02    0.2284E+02    SHTns
 255     64    20          10    0.2716E-10    0.9346E+02    0.3469E+02    0.5868E+02    SHTns
  15    128    20         902    0.1426E-08    0.3502E+02    0.1415E+02    0.1833E+02    SHTns
  31    128    20         432    0.7182E-09    0.3502E+02    0.1316E+02    0.2100E+02    SHTns
  63    128    20          67    0.2126E-09    0.3527E+02    0.1417E+02    0.2065E+02    SHTns
 127    128    20          13    0.4027E-10    0.3627E+02    0.1371E+02    0.2241E+02    SHTns
