#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       35168    0.5550E-07    0.3500E+02    0.1409E+02    0.2055E+02    SHTns
  31      4    20        9922    0.1648E-07    0.3500E+02    0.1318E+02    0.2142E+02    SHTns
  63      4    20        2536    0.8019E-08    0.3501E+02    0.1405E+02    0.2065E+02    SHTns
 127      4    20         329    0.1009E-08    0.3503E+02    0.1310E+02    0.2182E+02    SHTns
 255      4    20          56    0.1529E-09    0.3526E+02    0.1288E+02    0.2235E+02    SHTns
 511      4    20          10    0.9620E-10    0.4346E+02    0.1678E+02    0.2667E+02    SHTns
  15      8    20       38396    0.6059E-07    0.3500E+02    0.1220E+02    0.2222E+02    SHTns
  31      8    20        6612    0.1098E-07    0.3500E+02    0.1352E+02    0.2060E+02    SHTns
  63      8    20        1123    0.3552E-08    0.3500E+02    0.1394E+02    0.2065E+02    SHTns
 127      8    20         203    0.6226E-09    0.3512E+02    0.1306E+02    0.2193E+02    SHTns
 255      8    20          30    0.8162E-10    0.3596E+02    0.1288E+02    0.2304E+02    SHTns
 511      8    20          10    0.9620E-10    0.8314E+02    0.3127E+02    0.5185E+02    SHTns
  15     16    20       18330    0.2894E-07    0.3500E+02    0.1259E+02    0.2165E+02    SHTns
  31     16    20        3234    0.5369E-08    0.3500E+02    0.1335E+02    0.2068E+02    SHTns
  63     16    20         650    0.2051E-08    0.3504E+02    0.1404E+02    0.2062E+02    SHTns
 127     16    20         102    0.3131E-09    0.3524E+02    0.1308E+02    0.2203E+02    SHTns
 255     16    20          15    0.4078E-10    0.3668E+02    0.1355E+02    0.2310E+02    SHTns
 511     16    20          10    0.9620E-10    0.1629E+03    0.5921E+02    0.1036E+03    SHTns
  15     32    20        5819    0.9185E-08    0.3500E+02    0.1292E+02    0.1996E+02    SHTns
  31     32    20        1777    0.2962E-08    0.3500E+02    0.1365E+02    0.2041E+02    SHTns
  63     32    20         328    0.1034E-08    0.3508E+02    0.1401E+02    0.2072E+02    SHTns
 127     32    20          48    0.1478E-09    0.3535E+02    0.1311E+02    0.2213E+02    SHTns
 255     32    20          10    0.2697E-10    0.5923E+02    0.2199E+02    0.3720E+02    SHTns
  15      2    20       76121    0.1202E-06    0.3500E+02    0.1396E+02    0.2051E+02    SHTns
  31      2    20       24608    0.4078E-07    0.3500E+02    0.1310E+02    0.2151E+02    SHTns
  63      2    20        2791    0.8823E-08    0.3501E+02    0.1305E+02    0.2154E+02    SHTns
 127      2    20         596    0.1821E-08    0.3501E+02    0.1296E+02    0.2189E+02    SHTns
 255      2    20          71    0.1927E-09    0.3512E+02    0.1322E+02    0.2186E+02    SHTns
 511      2    20          18    0.1726E-09    0.3618E+02    0.1451E+02    0.2164E+02    SHTns
  15     64    20        3544    0.5595E-08    0.3501E+02    0.1254E+02    0.2101E+02    SHTns
  31     64    20         799    0.1325E-08    0.3500E+02    0.1336E+02    0.2052E+02    SHTns
  63     64    20         151    0.4770E-09    0.3517E+02    0.1407E+02    0.2074E+02    SHTns
 127     64    20          26    0.8008E-10    0.3598E+02    0.1352E+02    0.2236E+02    SHTns
 255     64    20          10    0.2716E-10    0.8804E+02    0.3476E+02    0.5320E+02    SHTns
  15    128    20         890    0.1408E-08    0.3500E+02    0.1446E+02    0.1799E+02    SHTns
  31    128    20         289    0.4826E-09    0.3505E+02    0.1349E+02    0.1955E+02    SHTns
  63    128    20          83    0.2632E-09    0.3541E+02    0.1425E+02    0.2085E+02    SHTns
 127    128    20          13    0.4027E-10    0.3609E+02    0.1364E+02    0.2235E+02    SHTns
