#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       59652    0.9415E-07    0.3500E+02    0.1423E+02    0.2025E+02    SHTns
  31      4    20       14423    0.2393E-07    0.3500E+02    0.1267E+02    0.2192E+02    SHTns
  63      4    20        2519    0.7965E-08    0.3501E+02    0.1402E+02    0.2066E+02    SHTns
 127      4    20         320    0.9811E-09    0.3505E+02    0.1288E+02    0.2206E+02    SHTns
 255      4    20          45    0.1227E-09    0.3552E+02    0.1316E+02    0.2232E+02    SHTns
 511      4    20          10    0.9620E-10    0.5420E+02    0.2015E+02    0.3404E+02    SHTns
  15      8    20       32475    0.5125E-07    0.3500E+02    0.1427E+02    0.2021E+02    SHTns
  31      8    20        6686    0.1110E-07    0.3500E+02    0.1355E+02    0.2072E+02    SHTns
  63      8    20        1120    0.3543E-08    0.3502E+02    0.1408E+02    0.2049E+02    SHTns
 127      8    20         203    0.6226E-09    0.3511E+02    0.1305E+02    0.2193E+02    SHTns
 255      8    20          26    0.7044E-10    0.3506E+02    0.1306E+02    0.2197E+02    SHTns
 511      8    20          10    0.9620E-10    0.8252E+02    0.3066E+02    0.5184E+02    SHTns
  15     16    20       15076    0.2380E-07    0.3500E+02    0.1447E+02    0.1978E+02    SHTns
  31     16    20        2946    0.4885E-08    0.3500E+02    0.1335E+02    0.2047E+02    SHTns
  63     16    20         649    0.2048E-08    0.3502E+02    0.1401E+02    0.2063E+02    SHTns
 127     16    20          72    0.2209E-09    0.3549E+02    0.1291E+02    0.2248E+02    SHTns
 255     16    20          15    0.4078E-10    0.3645E+02    0.1395E+02    0.2245E+02    SHTns
 511     16    20          10    0.9620E-10    0.1638E+03    0.6216E+02    0.1015E+03    SHTns
  15     32    20        6592    0.1041E-07    0.3500E+02    0.1300E+02    0.1980E+02    SHTns
  31     32    20        1735    0.2893E-08    0.3502E+02    0.1329E+02    0.2080E+02    SHTns
  63     32    20         261    0.8249E-09    0.3518E+02    0.1373E+02    0.2113E+02    SHTns
 127     32    20          48    0.1478E-09    0.3518E+02    0.1316E+02    0.2190E+02    SHTns
 255     32    20          10    0.2697E-10    0.5537E+02    0.2090E+02    0.3442E+02    SHTns
  15      2    20      110610    0.1746E-06    0.3500E+02    0.1410E+02    0.2028E+02    SHTns
  31      2    20       19652    0.3259E-07    0.3500E+02    0.1287E+02    0.2178E+02    SHTns
  63      2    20        3737    0.1181E-07    0.3500E+02    0.1331E+02    0.2122E+02    SHTns
 127      2    20         799    0.2444E-08    0.3501E+02    0.1304E+02    0.2181E+02    SHTns
 255      2    20          71    0.1927E-09    0.3542E+02    0.1283E+02    0.2255E+02    SHTns
 511      2    20          13    0.1249E-09    0.3695E+02    0.1288E+02    0.2406E+02    SHTns
  15     64    20        2421    0.3822E-08    0.3500E+02    0.1439E+02    0.1804E+02    SHTns
  31     64    20         842    0.1395E-08    0.3502E+02    0.1330E+02    0.2050E+02    SHTns
  63     64    20         161    0.5085E-09    0.3515E+02    0.1414E+02    0.2062E+02    SHTns
 127     64    20          21    0.6466E-10    0.3530E+02    0.1318E+02    0.2203E+02    SHTns
 255     64    20          10    0.2716E-10    0.8782E+02    0.3466E+02    0.5308E+02    SHTns
  15    128    20        1332    0.2100E-08    0.3501E+02    0.1439E+02    0.1741E+02    SHTns
  31    128    20         326    0.5441E-09    0.3506E+02    0.1374E+02    0.1909E+02    SHTns
  63    128    20          71    0.2252E-09    0.3534E+02    0.1423E+02    0.2074E+02    SHTns
 127    128    20          12    0.3712E-10    0.3602E+02    0.1463E+02    0.2125E+02    SHTns
