#
# l_max    Nr    Nfields    Nloops    MaxError    TotalTime    ToPhysTime    ToSpecTime    Rayleigh/SHTns
#----------------------------------------------------------------------------------------------
  15      4    20       46093    0.7274E-07    0.3500E+02    0.1416E+02    0.2040E+02    SHTns
  31      4    20       14406    0.2390E-07    0.3500E+02    0.1333E+02    0.2132E+02    SHTns
  63      4    20        2576    0.8146E-08    0.3501E+02    0.1353E+02    0.2112E+02    SHTns
 127      4    20         285    0.8741E-09    0.3507E+02    0.1295E+02    0.2201E+02    SHTns
 255      4    20          51    0.1396E-09    0.3549E+02    0.1317E+02    0.2229E+02    SHTns
 511      4    20          10    0.9620E-10    0.4996E+02    0.1814E+02    0.3181E+02    SHTns
  15      8    20       38403    0.6060E-07    0.3500E+02    0.1220E+02    0.2223E+02    SHTns
  31      8    20        6272    0.1041E-07    0.3500E+02    0.1351E+02    0.2063E+02    SHTns
  63      8    20        1138    0.3600E-08    0.3503E+02    0.1401E+02    0.2063E+02    SHTns
 127      8    20         187    0.5731E-09    0.3515E+02    0.1301E+02    0.2201E+02    SHTns
 255      8    20          24    0.6521E-10    0.3543E+02    0.1288E+02    0.2252E+02    SHTns
 511      8    20          10    0.9620E-10    0.8246E+02    0.3055E+02    0.5188E+02    SHTns
  15     16    20       15072    0.2380E-07    0.3500E+02    0.1452E+02    0.1983E+02    SHTns
  31     16    20        2903    0.4814E-08    0.3501E+02    0.1329E+02    0.2071E+02    SHTns
  63     16    20         637    0.2011E-08    0.3502E+02    0.1393E+02    0.2071E+02    SHTns
 127     16    20         102    0.3131E-09    0.3526E+02    0.1311E+02    0.2202E+02    SHTns
 255     16    20          13    0.3509E-10    0.3532E+02    0.1383E+02    0.2145E+02    SHTns
 511     16    20          10    0.9620E-10    0.1593E+03    0.5554E+02    0.1037E+03    SHTns
  15     32    20        5969    0.9426E-08    0.3500E+02    0.1433E+02    0.1866E+02    SHTns
  31     32    20        1776    0.2960E-08    0.3501E+02    0.1367E+02    0.2042E+02    SHTns
  63     32    20         328    0.1034E-08    0.3509E+02    0.1402E+02    0.2072E+02    SHTns
 127     32    20          51    0.1570E-09    0.3540E+02    0.1311E+02    0.2219E+02    SHTns
 255     32    20          10    0.2697E-10    0.6333E+02    0.2321E+02    0.4007E+02    SHTns
  15      2    20      104133    0.1644E-06    0.3500E+02    0.1405E+02    0.2034E+02    SHTns
  31      2    20       16691    0.2768E-07    0.3500E+02    0.1279E+02    0.2187E+02    SHTns
  63      2    20        4022    0.1271E-07    0.3500E+02    0.1310E+02    0.2143E+02    SHTns
 127      2    20         583    0.1782E-08    0.3504E+02    0.1315E+02    0.2174E+02    SHTns
 255      2    20          76    0.2064E-09    0.3525E+02    0.1276E+02    0.2244E+02    SHTns
 511      2    20          10    0.9620E-10    0.3687E+02    0.1381E+02    0.2305E+02    SHTns
  15     64    20        2626    0.4146E-08    0.3500E+02    0.1432E+02    0.1793E+02    SHTns
  31     64    20         796    0.1320E-08    0.3503E+02    0.1333E+02    0.2055E+02    SHTns
  63     64    20         163    0.5147E-09    0.3500E+02    0.1393E+02    0.2075E+02    SHTns
 127     64    20          26    0.8008E-10    0.3605E+02    0.1349E+02    0.2245E+02    SHTns
 255     64    20          10    0.2716E-10    0.8818E+02    0.3472E+02    0.5338E+02    SHTns
  15    128    20        2182    0.3444E-08    0.3502E+02    0.1233E+02    0.2103E+02    SHTns
  31    128    20         329    0.5489E-09    0.3503E+02    0.1390E+02    0.1886E+02    SHTns
  63    128    20          66    0.2094E-09    0.3533E+02    0.1426E+02    0.2070E+02    SHTns
 127    128    20          12    0.3712E-10    0.3589E+02    0.1405E+02    0.2174E+02    SHTns
